y+,t_mean+,t_rms+,ut,vt,y
0.1477129,0.1051958,0.04362939,0.002283997,8.602276072101994e-07,0.0003729591124221202
0.452484,0.3222378,0.133655,0.02150916,6.19656000078213e-05,0.0011424732100257366
0.7780542,0.5540559,0.2298099,0.06379106,0.0003209463831721331,0.0019645027878289765
1.128718,0.8036253,0.3332573,0.1345926,0.0009980750567390644,0.002849890994319864
1.508913,1.073929,0.4450591,0.2408614,0.0024202000732969236,0.0038098422900247615
1.9232,1.367875,0.566077,0.3909163,0.005061601363295139,0.0048558722021585215
2.376239,1.688166,0.6968371,0.5939871,0.009578318071498209,0.005999746727217639
2.872766,2.037129,0.8373621,0.8592295,0.016827811526015014,0.007253423753486962
3.417571,2.41648,0.9869924,1.194097,0.027855447037624298,0.008628997513416755
4.015468,2.827043,1.144234,1.602147,0.043829676933599744,0.01013862283686412
4.671275,3.268444,1.306683,2.080646,0.06591462769022624,0.011794464653253975
5.389789,3.738836,1.471072,2.618685,0.0950854391618064,0.01360863486928025
6.175761,4.234717,1.633473,3.196607,0.1319158387407403,0.015593129246607067
7.033875,4.750918,1.789633,3.78735,0.17638940761676644,0.017759774379137776
7.968727,5.280809,1.935388,4.359671,0.22779245890448244,0.02012017467028394
8.984802,5.816737,2.067088,4.88254,0.2847322098314089,0.022685654260450442
10.08646,6.350621,2.181919,5.329501,0.34528797951840445,0.025467221678548174
11.2779,6.874632,2.278095,5.681872,0.40725980986592025,0.02847547894588373
12.56318,7.381804,2.354879,5.930173,0.46845264538806597,0.031720672073998486
13.94616,7.866509,2.412489,6.073781,0.526924822441318,0.03521254714582732
15.43052,8.324708,2.451917,6.119341,0.5811612296172817,0.0389603957637537
17.0197,8.753991,2.474714,6.078546,0.6301460864569544,0.04297290355609266
18.71696,9.15344,2.482781,5.965879,0.6733553675853512,0.04725830167060782
20.52529,9.523363,2.478177,5.796685,0.7106826839910273,0.05182413953423579
22.44747,9.864983,2.462994,5.585828,0.7423390478794096,0.05667743634660324
24.486,10.18011,2.43929,5.34692,0.7687373680874748,0.06182450433759024
26.64313,10.4709,2.409004,5.091838,0.7903819949456581,0.0672710245140889
28.92085,10.73964,2.37385,4.830384,0.8077927635777343,0.07302202141108376
31.32088,10.98869,2.335284,4.570187,0.8214776561494548,0.07908183784273232
33.84466,11.22031,2.294519,4.316857,0.8319174809446469,0.0854541096534455
36.49334,11.43666,2.252548,4.074242,0.8395535707091307,0.09214174046896821
39.26781,11.6397,2.210183,3.844811,0.844777248628089,0.09914697744313768
42.16869,11.83119,2.168066,3.629979,0.8479281573608758,0.10647138600896423
45.1963,12.01268,2.126652,3.430345,0.8493076982766267,0.1141157741318725
48.35071,12.18551,2.086162,3.24548,0.8491671756745042,0.12208031855429911
51.6317,12.35081,2.046687,3.074408,0.8477066280791764,0.13036446380001465
55.0388,12.50958,2.008364,2.916307,0.8451014144067529,0.1389670231698016
58.57128,12.66265,1.97134,2.770419,0.8415054390571625,0.14788615349253503
62.22816,12.81066,1.93564,2.635856,0.8370493235493828,0.15711938037410192
66.00822,12.95411,1.901294,2.511843,0.8318294202604195,0.1666636234463208
69.91002,13.0934,1.868401,2.397658,0.8258976286815757,0.17651524686478073
73.93187,13.22891,1.836931,2.292255,0.8192910610499614,0.18666998356208275
78.07191,13.36103,1.806836,2.194952,0.8120609125980478,0.19712313723919608
82.32805,13.49008,1.778109,2.105629,0.804268323750062,0.20786943087194099
86.69803,13.61631,1.750669,2.023754,0.7959623775678066,0.21890315820450582
91.17942,13.73989,1.724418,1.948279,0.787163887826485,0.23021818374944714
95.76963,13.86102,1.699262,1.878424,0.7779040751959335,0.2418079680366092
100.4659,13.97977,1.675079,1.813652,0.768233392231893,0.25366554236420435
105.2654,14.09611,1.651786,1.753338,0.7581710676546634,0.26578376128800835
110.1652,14.21006,1.629434,1.696584,0.747689760347815,0.27815522687460165
115.1621,14.32176,1.607946,1.642865,0.7367555223171607,0.2907718594697379
