y+,t_mean+,t_rms+,ut+
1.477129e-01,1.051958e-01,4.362939e-02,2.283997e-03
4.524840e-01,3.222378e-01,1.336550e-01,2.150916e-02
7.780542e-01,5.540559e-01,2.298099e-01,6.379106e-02
1.128718e+00,8.036253e-01,3.332573e-01,1.345926e-01
1.508913e+00,1.073929e+00,4.450591e-01,2.408614e-01
1.923200e+00,1.367875e+00,5.660770e-01,3.909163e-01
2.376239e+00,1.688166e+00,6.968371e-01,5.939871e-01
2.872766e+00,2.037129e+00,8.373621e-01,8.592295e-01
3.417571e+00,2.416480e+00,9.869924e-01,1.194097e+00
4.015468e+00,2.827043e+00,1.144234e+00,1.602147e+00
4.671275e+00,3.268444e+00,1.306683e+00,2.080646e+00
5.389789e+00,3.738836e+00,1.471072e+00,2.618685e+00
6.175761e+00,4.234717e+00,1.633473e+00,3.196607e+00
7.033875e+00,4.750918e+00,1.789633e+00,3.787350e+00
7.968727e+00,5.280809e+00,1.935388e+00,4.359671e+00
8.984802e+00,5.816737e+00,2.067088e+00,4.882540e+00
1.008646e+01,6.350621e+00,2.181919e+00,5.329501e+00
1.127790e+01,6.874632e+00,2.278095e+00,5.681872e+00
1.256318e+01,7.381804e+00,2.354879e+00,5.930173e+00
1.394616e+01,7.866509e+00,2.412489e+00,6.073781e+00
1.543052e+01,8.324708e+00,2.451917e+00,6.119341e+00
1.701970e+01,8.753991e+00,2.474714e+00,6.078546e+00
1.871696e+01,9.153440e+00,2.482781e+00,5.965879e+00
2.052529e+01,9.523363e+00,2.478177e+00,5.796685e+00
2.244747e+01,9.864983e+00,2.462994e+00,5.585828e+00
2.448600e+01,1.018011e+01,2.439290e+00,5.346920e+00
2.664313e+01,1.047090e+01,2.409004e+00,5.091838e+00
2.892085e+01,1.073964e+01,2.373850e+00,4.830384e+00
3.132088e+01,1.098869e+01,2.335284e+00,4.570187e+00
3.384466e+01,1.122031e+01,2.294519e+00,4.316857e+00
3.649334e+01,1.143666e+01,2.252548e+00,4.074242e+00
3.926781e+01,1.163970e+01,2.210183e+00,3.844811e+00
4.216869e+01,1.183119e+01,2.168066e+00,3.629979e+00
4.519630e+01,1.201268e+01,2.126652e+00,3.430345e+00
4.835071e+01,1.218551e+01,2.086162e+00,3.245480e+00
5.163170e+01,1.235081e+01,2.046687e+00,3.074408e+00
5.503880e+01,1.250958e+01,2.008364e+00,2.916307e+00
5.857128e+01,1.266265e+01,1.971340e+00,2.770419e+00
6.222816e+01,1.281066e+01,1.935640e+00,2.635856e+00
6.600822e+01,1.295411e+01,1.901294e+00,2.511843e+00
6.991002e+01,1.309340e+01,1.868401e+00,2.397658e+00
7.393187e+01,1.322891e+01,1.836931e+00,2.292255e+00
7.807191e+01,1.336103e+01,1.806836e+00,2.194952e+00
8.232805e+01,1.349008e+01,1.778109e+00,2.105629e+00
8.669803e+01,1.361631e+01,1.750669e+00,2.023754e+00
9.117942e+01,1.373989e+01,1.724418e+00,1.948279e+00
9.576963e+01,1.386102e+01,1.699262e+00,1.878424e+00
1.004659e+02,1.397977e+01,1.675079e+00,1.813652e+00
1.052654e+02,1.409611e+01,1.651786e+00,1.753338e+00
1.101652e+02,1.421006e+01,1.629434e+00,1.696584e+00
1.151621e+02,1.432176e+01,1.607946e+00,1.642865e+00
1.202529e+02,1.443148e+01,1.587200e+00,1.592332e+00
1.254346e+02,1.453938e+01,1.567088e+00,1.544793e+00
1.307036e+02,1.464553e+01,1.547449e+00,1.499849e+00
1.360567e+02,1.474993e+01,1.528243e+00,1.457107e+00
1.414905e+02,1.485257e+01,1.509522e+00,1.416365e+00
1.470016e+02,1.495342e+01,1.491079e+00,1.377318e+00
1.525866e+02,1.505251e+01,1.472682e+00,1.339529e+00
1.582421e+02,1.514989e+01,1.454172e+00,1.302623e+00
1.639645e+02,1.524559e+01,1.435574e+00,1.266384e+00
1.697507e+02,1.533961e+01,1.417003e+00,1.230570e+00
1.755973e+02,1.543196e+01,1.398355e+00,1.194972e+00
1.815009e+02,1.552266e+01,1.379499e+00,1.159865e+00
1.874583e+02,1.561171e+01,1.360374e+00,1.125298e+00
1.934664e+02,1.569906e+01,1.341068e+00,1.091190e+00
1.995219e+02,1.578466e+01,1.321595e+00,1.057652e+00
2.056220e+02,1.586842e+01,1.301911e+00,1.024841e+00
2.117636e+02,1.595024e+01,1.282054e+00,9.928239e-01
2.179439e+02,1.603010e+01,1.262075e+00,9.614348e-01
2.241600e+02,1.610788e+01,1.242096e+00,9.303202e-01
2.304094e+02,1.618339e+01,1.222145e+00,8.993598e-01
2.366893e+02,1.625670e+01,1.202002e+00,8.684369e-01
2.429974e+02,1.632796e+01,1.181501e+00,8.375269e-01
2.493313e+02,1.639715e+01,1.160700e+00,8.065008e-01
2.556886e+02,1.646416e+01,1.139678e+00,7.752524e-01
2.620673e+02,1.652897e+01,1.118384e+00,7.438855e-01
2.684652e+02,1.659166e+01,1.096732e+00,7.127029e-01
2.748804e+02,1.665217e+01,1.074914e+00,6.820796e-01
2.813111e+02,1.671023e+01,1.053159e+00,6.522111e-01
2.877556e+02,1.676555e+01,1.031569e+00,6.230436e-01
2.942123e+02,1.681796e+01,1.010217e+00,5.943010e-01
3.006795e+02,1.686749e+01,9.890532e-01,5.658241e-01
3.071561e+02,1.691425e+01,9.681375e-01,5.376910e-01
3.136405e+02,1.695815e+01,9.477078e-01,5.100472e-01
3.201318e+02,1.699905e+01,9.279690e-01,4.831265e-01
3.266287e+02,1.703686e+01,9.090494e-01,4.572662e-01
3.331303e+02,1.707155e+01,8.910650e-01,4.328539e-01
3.396357e+02,1.710314e+01,8.740493e-01,4.100759e-01
3.461442e+02,1.713166e+01,8.581080e-01,3.890434e-01
3.526550e+02,1.715703e+01,8.434912e-01,3.699061e-01
3.591676e+02,1.717901e+01,8.303964e-01,3.528049e-01
3.656814e+02,1.719744e+01,8.190298e-01,3.380433e-01
3.721961e+02,1.721227e+01,8.095889e-01,3.259389e-01
3.787112e+02,1.722350e+01,8.021916e-01,3.166641e-01
3.852267e+02,1.723102e+01,7.969819e-01,3.101775e-01
3.917422e+02,1.723472e+01,7.941238e-01,3.063546e-01
