%----------------------------------------------------------------
%  Reference : H. Abe, R.A.Antonia and H. Kawamura,
%  "Correlation between small-scale velocity 
%  and scalar fluctuations in a turbulent channel flow," 
%  J. Fluid Mech., Vol. 627, pp. 1-32 (2009).
%  DOI: https://doi.org/10.1017/S0022112008005569
%----------------------------------------------------------------
Case: cha395

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     3.29 and 3.29 wall units in the x- and z-directions
     and 0.15 to 6.52 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     1536 x 192 x 768

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 5,008 non-dimensional units of time (nu/u_tau^2)
     after the flow reaches the fully developed state.  


2. Conditions

2.1. Specified conditions

     Re_tau = 395

2.2. Obtained mean quantities

     Re_bulk = 13849


3. Turbulence statistics

 j       y+           u_mean+          uu+            ww+
66   1.995219e+02   1.864456e+01   1.716566e+00   9.120224e-01
67   2.056220e+02   1.873946e+01   1.672322e+00   8.842413e-01
68   2.117636e+02   1.883263e+01   1.628469e+00   8.566594e-01
69   2.179439e+02   1.892404e+01   1.585024e+00   8.297784e-01
70   2.241600e+02   1.901359e+01   1.541810e+00   8.038871e-01
71   2.304094e+02   1.910117e+01   1.498774e+00   7.786983e-01
72   2.366893e+02   1.918674e+01   1.455882e+00   7.538506e-01
73   2.429974e+02   1.927030e+01   1.412927e+00   7.294804e-01
74   2.493313e+02   1.935182e+01   1.369815e+00   7.058509e-01
75   2.556886e+02   1.943125e+01   1.326723e+00   6.829494e-01
76   2.620673e+02   1.950852e+01   1.283814e+00   6.605326e-01
77   2.684652e+02   1.958349e+01   1.241293e+00   6.383174e-01
78   2.748804e+02   1.965594e+01   1.199295e+00   6.163270e-01
79   2.813111e+02   1.972568e+01   1.157489e+00   5.948216e-01
80   2.877556e+02   1.979259e+01   1.115645e+00   5.739853e-01
81   2.942123e+02   1.985666e+01   1.073772e+00   5.538596e-01
82   3.006795e+02   1.991788e+01   1.032014e+00   5.345369e-01
83   3.071561e+02   1.997611e+01   9.906151e-01   5.160695e-01
84   3.136405e+02   2.003123e+01   9.499310e-01   4.985174e-01
85   3.201318e+02   2.008314e+01   9.103232e-01   4.819822e-01
86   3.266287e+02   2.013173e+01   8.722392e-01   4.664419e-01
87   3.331303e+02   2.017684e+01   8.361237e-01   4.518528e-01
88   3.396357e+02   2.021836e+01   8.022367e-01   4.382580e-01
89   3.461442e+02   2.025610e+01   7.708722e-01   4.257548e-01
90   3.526550e+02   2.028974e+01   7.424553e-01   4.144308e-01
91   3.591676e+02   2.031889e+01   7.173596e-01   4.044621e-01
92   3.656814e+02   2.034335e+01   6.959799e-01   3.961169e-01
93   3.721961e+02   2.036304e+01   6.787248e-01   3.896209e-01
94   3.787112e+02   2.037794e+01   6.657595e-01   3.849798e-01
95   3.852267e+02   2.038799e+01   6.569919e-01   3.820640e-01
96   3.917422e+02   2.039315e+01   6.522726e-01   3.807068e-01

 j       y+             vv+           -uv+
 1   2.954259e-01   9.103801e-07   2.521976e-05
 2   6.095421e-01   1.443999e-05   2.242742e-04
 3   9.465664e-01   7.527288e-05   8.525184e-04
 4   1.310870e+00   2.484421e-04   2.292287e-03
 5   1.706956e+00   6.383537e-04   5.097708e-03
 6   2.139443e+00   1.399139e-03   1.003488e-02
 7   2.613034e+00   2.744833e-03   1.810111e-02
 8   3.132498e+00   4.957488e-03   3.050063e-02
 9   3.702644e+00   8.391203e-03   4.855382e-02
10   4.328293e+00   1.347034e-02   7.352835e-02
11   5.014258e+00   2.068097e-02   1.064051e-01
12   5.765320e+00   3.055538e-02   1.476232e-01
13   6.586202e+00   4.365046e-02   1.968749e-01
14   7.481549e+00   6.052025e-02   2.530219e-01
15   8.455905e+00   8.168276e-02   3.141784e-01
16   9.513698e+00   1.075801e-01   3.779526e-01
17   1.065922e+01   1.385326e-01   4.417888e-01
18   1.189659e+01   1.746898e-01   5.033160e-01
19   1.322978e+01   2.159864e-01   5.606185e-01
20   1.466255e+01   2.621130e-01   6.123791e-01
21   1.619848e+01   3.125118e-01   6.578908e-01
