y+,-vt+
2.954259e-01,1.696739e-05
6.095421e-01,1.527613e-04
9.465664e-01,5.834131e-04
1.310870e+00,1.575610e-03
1.706956e+00,3.523355e-03
2.139443e+00,6.985788e-03
2.613034e+00,1.271662e-02
3.132498e+00,2.166999e-02
3.702644e+00,3.496413e-02
4.328293e+00,5.378646e-02
5.014258e+00,7.923596e-02
5.765320e+00,1.121194e-01
6.586202e+00,1.527426e-01
7.481549e+00,2.007544e-01
8.455905e+00,2.550968e-01
9.513698e+00,3.140907e-01
1.065922e+01,3.756416e-01
1.189659e+01,4.375146e-01
1.322978e+01,4.976096e-01
1.466255e+01,5.541772e-01
1.619848e+01,6.059431e-01
1.784092e+01,6.521386e-01
1.959300e+01,6.924561e-01
2.145759e+01,7.269592e-01
2.343735e+01,7.559734e-01
2.553465e+01,7.799701e-01
2.775161e+01,7.994674e-01
3.009010e+01,8.149815e-01
3.255167e+01,8.270096e-01
3.513764e+01,8.360143e-01
3.784903e+01,8.424145e-01
4.068659e+01,8.465746e-01
4.365079e+01,8.488144e-01
4.674182e+01,8.494146e-01
4.995960e+01,8.485974e-01
5.330379e+01,8.465487e-01
5.677380e+01,8.434344e-01
6.036875e+01,8.393964e-01
6.408756e+01,8.345517e-01
6.792888e+01,8.289734e-01
7.189115e+01,8.227004e-01
7.597259e+01,8.157757e-01
8.017122e+01,8.082575e-01
8.448487e+01,8.002042e-01
8.891119e+01,7.916511e-01
9.344765e+01,7.826152e-01
9.809160e+01,7.731446e-01
1.028402e+02,7.632784e-01
1.076906e+02,7.530122e-01
1.126397e+02,7.423062e-01
1.176844e+02,7.311488e-01
1.228215e+02,7.195858e-01
1.280476e+02,7.076547e-01
1.333596e+02,6.953850e-01
1.387539e+02,6.827840e-01
1.442272e+02,6.698650e-01
1.497761e+02,6.566333e-01
1.553971e+02,6.430832e-01
1.610870e+02,6.292309e-01
1.668421e+02,6.150910e-01
1.726593e+02,6.006708e-01
1.785352e+02,5.859808e-01
1.844665e+02,5.710251e-01
1.904501e+02,5.558147e-01
1.964826e+02,5.403640e-01
2.025612e+02,5.246968e-01
2.086828e+02,5.088350e-01
2.148444e+02,4.927864e-01
2.210433e+02,4.765975e-01
2.272767e+02,4.602893e-01
2.335420e+02,4.438065e-01
2.398366e+02,4.271387e-01
2.461582e+02,4.103383e-01
2.525043e+02,3.934249e-01
2.588729e+02,3.763886e-01
2.652616e+02,3.592198e-01
2.716687e+02,3.419558e-01
2.780921e+02,3.246436e-01
2.845302e+02,3.072933e-01
2.909811e+02,2.898917e-01
2.974434e+02,2.723960e-01
3.039157e+02,2.548053e-01
3.103965e+02,2.371653e-01
3.168846e+02,2.194935e-01
3.233789e+02,2.017831e-01
3.298784e+02,1.840276e-01
3.363822e+02,1.662192e-01
3.428893e+02,1.483578e-01
3.493991e+02,1.304798e-01
3.559109e+02,1.126142e-01
3.624243e+02,9.475810e-02
3.689386e+02,7.689202e-02
3.754536e+02,5.901279e-02
3.819689e+02,4.114427e-02
3.884844e+02,2.329040e-02
3.950000e+02,5.437902e-03
