%----------------------------------------------------------------
%  Reference : H. Abe, H. Kawamura and Y. Matsuo,
%  "Surface heat-flux fluctuations in a turbulent channel flow
%  up to Re_tau=1020 with Pr=0.025 and 0.71," 
%  Int. J. Heat and Fluid Flow, vol. 25, pp. 404-419, 2004.
%  DOI: https://doi.org/10.1016/j.ijheatfluidflow.2004.02.010
%----------------------------------------------------------------
Case: cha1020

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     6.38 and 4.25 wall units in the x- and z-directions
     and 0.15 to 7.32 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     2048 x 448 x 1536

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 13,950 nu/u_tau^2
     after the flow reaches the fully developed state.  This integration time
     corresponds to about 20 washing out times through the computational domain.


2. Conditions

2.1. Specified conditions

     Re_tau = 1020

2.2. Obtained mean quantities

     Re_bulk = 41441


3. Turbulence statistics

  j      y+            u_mean            uu+            ww+
 63   0.823449e+02   0.160991e+02   0.414100e+01   0.194949e+01
 64   0.853138e+02   0.161834e+02   0.410174e+01   0.193390e+01
 65   0.883442e+02   0.162668e+02   0.406476e+01   0.191818e+01
 66   0.914362e+02   0.163494e+02   0.402979e+01   0.190240e+01
 67   0.945897e+02   0.164313e+02   0.399660e+01   0.188664e+01
 68   0.978044e+02   0.165123e+02   0.396498e+01   0.187093e+01
 69   0.101080e+03   0.165927e+02   0.393471e+01   0.185530e+01
 70   0.104417e+03   0.166723e+02   0.390562e+01   0.183977e+01
 71   0.107814e+03   0.167512e+02   0.387756e+01   0.182440e+01
 72   0.111272e+03   0.168294e+02   0.385040e+01   0.180923e+01
 73   0.114790e+03   0.169069e+02   0.382405e+01   0.179427e+01
 74   0.118368e+03   0.169838e+02   0.379843e+01   0.177957e+01
 75   0.122005e+03   0.170600e+02   0.377346e+01   0.176514e+01
 76   0.125702e+03   0.171356e+02   0.374906e+01   0.175101e+01
 77   0.129457e+03   0.172105e+02   0.372511e+01   0.173716e+01
 78   0.133270e+03   0.172849e+02   0.370153e+01   0.172357e+01
 79   0.137141e+03   0.173586e+02   0.367827e+01   0.171023e+01
 80   0.141070e+03   0.174317e+02   0.365523e+01   0.169707e+01
 81   0.145055e+03   0.175043e+02   0.363236e+01   0.168407e+01
 82   0.149097e+03   0.175762e+02   0.360956e+01   0.167118e+01
 83   0.153195e+03   0.176475e+02   0.358680e+01   0.165841e+01
 84   0.157349e+03   0.177182e+02   0.356407e+01   0.164578e+01
 85   0.161557e+03   0.177883e+02   0.354140e+01   0.163327e+01
 86   0.165819e+03   0.178577e+02   0.351883e+01   0.162088e+01
 87   0.170136e+03   0.179266e+02   0.349633e+01   0.160861e+01
 88   0.174505e+03   0.179949e+02   0.347387e+01   0.159646e+01
 89   0.178927e+03   0.180625e+02   0.345140e+01   0.158447e+01
 90   0.183400e+03   0.181296e+02   0.342885e+01   0.157264e+01
 91   0.187925e+03   0.181961e+02   0.340619e+01   0.156096e+01
 92   0.192500e+03   0.182619e+02   0.338339e+01   0.154942e+01
 93   0.197125e+03   0.183272e+02   0.336044e+01   0.153798e+01
 94   0.201800e+03   0.183919e+02   0.333740e+01   0.152665e+01
 95   0.206523e+03   0.184560e+02   0.331432e+01   0.151542e+01
 96   0.211294e+03   0.185195e+02   0.329127e+01   0.150431e+01
 97   0.216111e+03   0.185825e+02   0.326827e+01   0.149336e+01
 98   0.220976e+03   0.186449e+02   0.324531e+01   0.148257e+01
 99   0.225886e+03   0.187067e+02   0.322238e+01   0.147190e+01
100   0.230841e+03   0.187680e+02   0.319941e+01   0.146134e+01
101   0.235840e+03   0.188288e+02   0.317636e+01   0.145089e+01
102   0.240883e+03   0.188891e+02   0.315321e+01   0.144052e+01
103   0.245968e+03   0.189489e+02   0.312998e+01   0.143016e+01
104   0.251095e+03   0.190081e+02   0.310668e+01   0.141978e+01
105   0.256264e+03   0.190669e+02   0.308331e+01   0.140938e+01
106   0.261473e+03   0.191252e+02   0.305992e+01   0.139896e+01
107   0.266722e+03   0.191830e+02   0.303650e+01   0.138853e+01
108   0.272010e+03   0.192404e+02   0.301307e+01   0.137807e+01
109   0.277337e+03   0.192972e+02   0.298959e+01   0.136756e+01
110   0.282700e+03   0.193536e+02   0.296604e+01   0.135698e+01
111   0.288101e+03   0.194095e+02   0.294235e+01   0.134639e+01
112   0.293538e+03   0.194649e+02   0.291852e+01   0.133582e+01
113   0.299010e+03   0.195199e+02   0.289460e+01   0.132525e+01
114   0.304516e+03   0.195745e+02   0.287060e+01   0.131465e+01
115   0.310056e+03   0.196286e+02   0.284655e+01   0.130400e+01
116   0.315630e+03   0.196823e+02   0.282245e+01   0.129327e+01
117   0.321235e+03   0.197356e+02   0.279830e+01   0.128246e+01
118   0.326873e+03   0.197884e+02   0.277409e+01   0.127157e+01
119   0.332541e+03   0.198407e+02   0.274983e+01   0.126064e+01
120   0.338239e+03   0.198926e+02   0.272552e+01   0.124968e+01
121   0.343967e+03   0.199440e+02   0.270112e+01   0.123874e+01
122   0.349724e+03   0.199950e+02   0.267663e+01   0.122786e+01
123   0.355508e+03   0.200456e+02   0.265205e+01   0.121705e+01
124   0.361320e+03   0.200957e+02   0.262742e+01   0.120631e+01
125   0.367159e+03   0.201454e+02   0.260276e+01   0.119563e+01
126   0.373024e+03   0.201948e+02   0.257810e+01   0.118500e+01
127   0.378915e+03   0.202437e+02   0.255345e+01   0.117442e+01
128   0.384830e+03   0.202923e+02   0.252880e+01   0.116384e+01
129   0.390769e+03   0.203405e+02   0.250414e+01   0.115319e+01
130   0.396731e+03   0.203883e+02   0.247947e+01   0.114249e+01
131   0.402717e+03   0.204358e+02   0.245483e+01   0.113179e+01
132   0.408725e+03   0.204829e+02   0.243026e+01   0.112113e+01
133   0.414754e+03   0.205295e+02   0.240576e+01   0.111052e+01
134   0.420804e+03   0.205758e+02   0.238129e+01   0.109990e+01
135   0.426875e+03   0.206217e+02   0.235685e+01   0.108926e+01
136   0.432966e+03   0.206671e+02   0.233253e+01   0.107860e+01
137   0.439076e+03   0.207121e+02   0.230835e+01   0.106795e+01
138   0.445205e+03   0.207568e+02   0.228429e+01   0.105731e+01
139   0.451352e+03   0.208010e+02   0.226030e+01   0.104669e+01
140   0.457517e+03   0.208449e+02   0.223634e+01   0.103609e+01
141   0.463699e+03   0.208884e+02   0.221240e+01   0.102556e+01
142   0.469898e+03   0.209316e+02   0.218851e+01   0.101509e+01
143   0.476113e+03   0.209744e+02   0.216471e+01   0.100466e+01
144   0.482344e+03   0.210168e+02   0.214103e+01   0.994254e+00
145   0.488590e+03   0.210588e+02   0.211744e+01   0.983847e+00
146   0.494852e+03   0.211005e+02   0.209395e+01   0.973422e+00
147   0.501127e+03   0.211418e+02   0.207054e+01   0.962948e+00
148   0.507417e+03   0.211828e+02   0.204716e+01   0.952408e+00
149   0.513720e+03   0.212234e+02   0.202377e+01   0.941813e+00
150   0.520037e+03   0.212637e+02   0.200036e+01   0.931227e+00
151   0.526366e+03   0.213037e+02   0.197700e+01   0.920707e+00
152   0.532708e+03   0.213434e+02   0.195375e+01   0.910278e+00
153   0.539062e+03   0.213827e+02   0.193065e+01   0.899907e+00
154   0.545427e+03   0.214216e+02   0.190771e+01   0.889538e+00
155   0.551805e+03   0.214602e+02   0.188494e+01   0.879150e+00
156   0.558193e+03   0.214984e+02   0.186236e+01   0.868768e+00
157   0.564592e+03   0.215362e+02   0.183997e+01   0.858417e+00
158   0.571002e+03   0.215736e+02   0.181776e+01   0.848110e+00
159   0.577422e+03   0.216107e+02   0.179573e+01   0.837851e+00
160   0.583853e+03   0.216474e+02   0.177386e+01   0.827633e+00
161   0.590293e+03   0.216838e+02   0.175215e+01   0.817437e+00
162   0.596742e+03   0.217198e+02   0.173057e+01   0.807264e+00
163   0.603201e+03   0.217556e+02   0.170907e+01   0.797154e+00
164   0.609670e+03   0.217909e+02   0.168765e+01   0.787171e+00
165   0.616147e+03   0.218260e+02   0.166630e+01   0.777350e+00
166   0.622633e+03   0.218608e+02   0.164506e+01   0.767691e+00
167   0.629128e+03   0.218952e+02   0.162393e+01   0.758171e+00
168   0.635631e+03   0.219293e+02   0.160293e+01   0.748739e+00
169   0.642143e+03   0.219630e+02   0.158200e+01   0.739333e+00
170   0.648663e+03   0.219964e+02   0.156114e+01   0.729921e+00
171   0.655191e+03   0.220294e+02   0.154035e+01   0.720502e+00
172   0.661727e+03   0.220621e+02   0.151966e+01   0.711083e+00
173   0.668272e+03   0.220944e+02   0.149907e+01   0.701689e+00
174   0.674824e+03   0.221263e+02   0.147855e+01   0.692362e+00
175   0.681385e+03   0.221578e+02   0.145809e+01   0.683142e+00
176   0.687953e+03   0.221890e+02   0.143768e+01   0.674061e+00
177   0.694529e+03   0.222197e+02   0.141734e+01   0.665138e+00
178   0.701113e+03   0.222500e+02   0.139706e+01   0.656380e+00
179   0.707705e+03   0.222799e+02   0.137684e+01   0.647771e+00
180   0.714306e+03   0.223094e+02   0.135666e+01   0.639291e+00
181   0.720914e+03   0.223384e+02   0.133648e+01   0.630925e+00
182   0.727530e+03   0.223670e+02   0.131632e+01   0.622664e+00
183   0.734155e+03   0.223953e+02   0.129620e+01   0.614495e+00
184   0.740787e+03   0.224230e+02   0.127613e+01   0.606406e+00
185   0.747429e+03   0.224504e+02   0.125610e+01   0.598401e+00
186   0.754079e+03   0.224773e+02   0.123609e+01   0.590487e+00
187   0.760737e+03   0.225038e+02   0.121612e+01   0.582673e+00
188   0.767404e+03   0.225298e+02   0.119622e+01   0.574989e+00
189   0.774081e+03   0.225553e+02   0.117645e+01   0.567464e+00
190   0.780767e+03   0.225804e+02   0.115685e+01   0.560119e+00
191   0.787462e+03   0.226050e+02   0.113743e+01   0.552954e+00
192   0.794167e+03   0.226291e+02   0.111819e+01   0.545960e+00
193   0.800881e+03   0.226527e+02   0.109912e+01   0.539129e+00
194   0.807606e+03   0.226758e+02   0.108023e+01   0.532443e+00
