%----------------------------------------------------------------
%  Reference : H. Abe, H. Kawamura and Y. Matsuo,
%  "Surface heat-flux fluctuations in a turbulent channel flow
%  up to Re_tau=1020 with Pr=0.025 and 0.71," 
%  Int. J. Heat and Fluid Flow, vol. 25, pp. 404-419, 2004.
%  DOI: https://doi.org/10.1016/j.ijheatfluidflow.2004.02.010
%----------------------------------------------------------------
Case: cha1020

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     6.38 and 4.25 wall units in the x- and z-directions
     and 0.15 to 7.32 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     2048 x 448 x 1536

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 13,950 nu/u_tau^2
     after the flow reaches the fully developed state.  This integration time
     corresponds to about 20 washing out times through the computational domain.


2. Conditions

2.1. Specified conditions

     Re_tau = 1020

2.2. Obtained mean quantities

     Re_bulk = 41441


3. Turbulence statistics

  j      y+            u_mean            uu+            ww+
120   0.341096e+03   0.962781e+00   0.653358e+00
121   0.346838e+03   0.956707e+00   0.647856e+00
122   0.352609e+03   0.950600e+00   0.642324e+00
123   0.358408e+03   0.944447e+00   0.636760e+00
124   0.364233e+03   0.938241e+00   0.631165e+00
125   0.370085e+03   0.931980e+00   0.625535e+00
126   0.375963e+03   0.925666e+00   0.619876e+00
127   0.381866e+03   0.919300e+00   0.614188e+00
128   0.387793e+03   0.912886e+00   0.608473e+00
129   0.393744e+03   0.906426e+00   0.602733e+00
130   0.399718e+03   0.899920e+00   0.596970e+00
131   0.405715e+03   0.893373e+00   0.591185e+00
132   0.411734e+03   0.886787e+00   0.585379e+00
133   0.417774e+03   0.880166e+00   0.579552e+00
134   0.423835e+03   0.873518e+00   0.573705e+00
135   0.429916e+03   0.866854e+00   0.567838e+00
136   0.436016e+03   0.860181e+00   0.561950e+00
137   0.442136e+03   0.853507e+00   0.556041e+00
138   0.448274e+03   0.846844e+00   0.550111e+00
139   0.454430e+03   0.840201e+00   0.544160e+00
140   0.460604e+03   0.833572e+00   0.538191e+00
141   0.466795e+03   0.826948e+00   0.532204e+00
142   0.473002e+03   0.820319e+00   0.526201e+00
143   0.479225e+03   0.813687e+00   0.520184e+00
144   0.485464e+03   0.807058e+00   0.514151e+00
145   0.491717e+03   0.800432e+00   0.508102e+00
146   0.497986e+03   0.793804e+00   0.502037e+00
147   0.504269e+03   0.787169e+00   0.495954e+00
148   0.510565e+03   0.780530e+00   0.489853e+00
149   0.516875e+03   0.773889e+00   0.483736e+00
150   0.523198e+03   0.767253e+00   0.477607e+00
151   0.529534e+03   0.760633e+00   0.471466e+00
152   0.535882e+03   0.754041e+00   0.465316e+00
153   0.542242e+03   0.747487e+00   0.459156e+00
154   0.548613e+03   0.740977e+00   0.452986e+00
155   0.554996e+03   0.734512e+00   0.446805e+00
156   0.561390e+03   0.728095e+00   0.440612e+00
157   0.567795e+03   0.721728e+00   0.434408e+00
158   0.574210e+03   0.715411e+00   0.428192e+00
159   0.580635e+03   0.709145e+00   0.421965e+00
160   0.587070e+03   0.702931e+00   0.415727e+00
161   0.593515e+03   0.696768e+00   0.409480e+00
162   0.599970e+03   0.690655e+00   0.403224e+00
163   0.606433e+03   0.684583e+00   0.396959e+00
164   0.612906e+03   0.678544e+00   0.390686e+00
165   0.619388e+03   0.672523e+00   0.384405e+00
166   0.625878e+03   0.666507e+00   0.378119e+00
167   0.632377e+03   0.660491e+00   0.371827e+00
168   0.638885e+03   0.654482e+00   0.365528e+00
169   0.645401e+03   0.648497e+00   0.359221e+00
170   0.651925e+03   0.642554e+00   0.352907e+00
171   0.658457e+03   0.636670e+00   0.346588e+00
172   0.664998e+03   0.630855e+00   0.340263e+00
173   0.671546e+03   0.625115e+00   0.333934e+00
174   0.678102e+03   0.619459e+00   0.327601e+00
175   0.684667e+03   0.613899e+00   0.321262e+00
176   0.691239e+03   0.608448e+00   0.314919e+00
177   0.697819e+03   0.603108e+00   0.308572e+00
178   0.704407e+03   0.597881e+00   0.302219e+00
179   0.711003e+03   0.592761e+00   0.295861e+00
180   0.717608e+03   0.587739e+00   0.289498e+00
181   0.724220e+03   0.582811e+00   0.283129e+00
182   0.730840e+03   0.577973e+00   0.276755e+00
183   0.737469e+03   0.573225e+00   0.270375e+00
184   0.744106e+03   0.568569e+00   0.263988e+00
185   0.750751e+03   0.564010e+00   0.257595e+00
186   0.757406e+03   0.559547e+00   0.251195e+00
187   0.764069e+03   0.555177e+00   0.244788e+00
188   0.770740e+03   0.550896e+00   0.238374e+00
189   0.777421e+03   0.546706e+00   0.231953e+00
190   0.784112e+03   0.542611e+00   0.225526e+00
191   0.790812e+03   0.538620e+00   0.219091e+00
192   0.797521e+03   0.534740e+00   0.212649e+00
193   0.804241e+03   0.530978e+00   0.206197e+00
194   0.810972e+03   0.527335e+00   0.199736e+00
195   0.817712e+03   0.523804e+00   0.193267e+00
196   0.824464e+03   0.520378e+00   0.186790e+00
197   0.831227e+03   0.517056e+00   0.180304e+00
198   0.838002e+03   0.513840e+00   0.173809e+00
199   0.844789e+03   0.510735e+00   0.167305e+00
200   0.851589e+03   0.507742e+00   0.160790e+00
201   0.858401e+03   0.504860e+00   0.154264e+00
202   0.865226e+03   0.502083e+00   0.147727e+00
203   0.872066e+03   0.499405e+00   0.141180e+00
204   0.878919e+03   0.496825e+00   0.134622e+00
205   0.885788e+03   0.494342e+00   0.128052e+00
206   0.892672e+03   0.491964e+00   0.121468e+00
207   0.899571e+03   0.489700e+00   0.114870e+00
208   0.906487e+03   0.487555e+00   0.108256e+00
209   0.913421e+03   0.485533e+00   0.101628e+00
210   0.920372e+03   0.483636e+00   0.949854e-01
211   0.927341e+03   0.481865e+00   0.883293e-01
212   0.934330e+03   0.480219e+00   0.816589e-01
213   0.941339e+03   0.478697e+00   0.749722e-01
214   0.948368e+03   0.477300e+00   0.682669e-01
215   0.955419e+03   0.476028e+00   0.615420e-01
216   0.962492e+03   0.474885e+00   0.547969e-01
217   0.969588e+03   0.473873e+00   0.480306e-01
218   0.976709e+03   0.472994e+00   0.412418e-01
219   0.983855e+03   0.472245e+00   0.344303e-01
220   0.991027e+03   0.471630e+00   0.275953e-01
221   0.998226e+03   0.471146e+00   0.207353e-01
222   0.100545e+04   0.470796e+00   0.138485e-01
223   0.101271e+04   0.470582e+00   0.693582e-02
224   0.102000e+04   0.470509e+00   0.000000e+00


4. Budgets of transport equations

Budget of uu+ :

       y+            Prod.           Diss.       vel_p_grad.     Turb_Diff.    Mole_Diff.        Res.    
   1.539453e-01   1.484321e-05   2.961392e-05   1.141762e-03   3.430333e-01   3.442288e-01  -9.232330e-06
   4.658272e-01   2.369628e-04   4.563846e-04   2.495813e-03   3.383623e-01   3.415134e-01   3.808110e-05
   7.863340e-01   1.087270e-03   2.043521e-03   3.024739e-03   3.338957e-01   3.399767e-01   7.453873e-05
   1.116760e+00   3.098336e-03   5.644751e-03   2.804023e-03   3.273376e-01   3.387596e-01   1.251521e-04
   1.458418e+00   6.899782e-03   1.204681e-02   1.905532e-03   3.164060e-01   3.370884e-01   1.696810e-04
   1.812637e+00   1.320154e-02   2.178128e-02   3.976339e-04   2.990791e-01   3.342584e-01   2.011512e-04
   2.180759e+00   2.275751e-02   3.492769e-02  -1.654199e-03   2.738972e-01   3.297114e-01   2.167882e-04
   2.564137e+00   3.630761e-02   5.096388e-02  -4.186539e-03   2.402489e-01   3.231151e-01   2.188092e-04
   2.964135e+00   5.449938e-02   6.871314e-02  -7.137229e-03   1.985610e-01   3.144216e-01   2.146839e-04
   3.382123e+00   7.779500e-02   8.641970e-02  -1.044491e-02   1.503305e-01   3.038844e-01   2.158540e-04
   3.819474e+00   1.063746e-01   1.019550e-01  -1.404890e-02   9.797622e-02   2.920217e-01   2.352117e-04
   4.277567e+00   1.400514e-01   1.131241e-01  -1.788946e-02   4.453011e-02   2.795321e-01   2.839895e-04
   4.757778e+00   1.782154e-01   1.180137e-01  -2.190828e-02  -6.773624e-03   2.671783e-01   3.689402e-04
   5.261480e+00   2.198227e-01   1.153108e-01  -2.604894e-02  -5.292981e-02   2.556642e-01   4.905714e-04
   5.790046e+00   2.634390e-01   1.045255e-01  -3.025733e-02  -9.153348e-02   2.455308e-01   6.428893e-04
   6.344838e+00   3.073391e-01   8.607585e-02  -3.448176e-02  -1.210292e-01   2.370893e-01   8.147024e-04
   6.927212e+00   3.496522e-01   6.122254e-02  -3.867294e-02  -1.408084e-01   2.304013e-01   9.920220e-04
   7.538513e+00   3.885326e-01   3.187371e-02  -4.278390e-02  -1.511585e-01   2.253031e-01   1.160867e-03
   8.180074e+00   4.223319e-01   3.057853e-04  -4.677001e-02  -1.530942e-01   2.214638e-01   1.309801e-03
   8.853214e+00   4.497447e-01  -3.114335e-02  -5.058939e-02  -1.481206e-01   2.184597e-01   1.431642e-03
   9.559235e+00   4.699082e-01  -6.035325e-02  -5.420364e-02  -1.379776e-01   2.158496e-01   1.524052e-03
   1.029942e+01   4.824446e-01  -8.563050e-02  -5.757901e-02  -1.244106e-01   2.132354e-01   1.589024e-03
   1.107505e+01   4.874438e-01  -1.058270e-01  -6.068751e-02  -1.089957e-01   2.103020e-01   1.631627e-03
   1.188735e+01   4.853994e-01  -1.203655e-01  -6.350803e-02  -9.303283e-02   2.068345e-01   1.658439e-03
   1.273757e+01   4.771110e-01  -1.291896e-01  -6.602697e-02  -7.750193e-02   2.027165e-01   1.676043e-03
   1.362689e+01   4.635745e-01  -1.326615e-01  -6.823830e-02  -6.307013e-02   1.979147e-01   1.689912e-03
   1.455651e+01   4.458742e-01  -1.314373e-01  -7.014305e-02  -5.013201e-02   1.924580e-01   1.703841e-03
   1.552756e+01   4.250917e-01  -1.263419e-01  -7.174820e-02  -3.886625e-02   1.864155e-01   1.719849e-03
   1.654119e+01   4.022365e-01  -1.182606e-01  -7.306533e-02  -2.929443e-02   1.798777e-01   1.738401e-03
   1.759849e+01   3.782009e-01  -1.080560e-01  -7.410897e-02  -2.133417e-02   1.729429e-01   1.758808e-03
   1.870054e+01   3.537361e-01  -9.651043e-02  -7.489504e-02  -1.484256e-02   1.657084e-01   1.779673e-03
   1.984838e+01   3.294469e-01  -8.429452e-02  -7.543939e-02  -9.648298e-03   1.582654e-01   1.799309e-03
   2.104302e+01   3.057980e-01  -7.195559e-02  -7.575674e-02  -5.572429e-03   1.506973e-01   1.815997e-03
   2.228545e+01   2.831286e-01  -5.992073e-02  -7.585999e-02  -2.439999e-03   1.430796e-01   1.828296e-03
   2.357663e+01   2.616703e-01  -4.850594e-02  -7.575993e-02  -8.895795e-05   1.354803e-01   1.835164e-03
   2.491747e+01   2.415664e-01  -3.792833e-02  -7.546506e-02   1.622826e-03   1.279600e-01   1.835798e-03
   2.630887e+01   2.228902e-01  -2.832401e-02  -7.498174e-02   2.818592e-03   1.205732e-01   1.829772e-03
   2.775169e+01   2.056616e-01  -1.976654e-02  -7.431486e-02   3.606597e-03   1.133695e-01   1.817288e-03
   2.924675e+01   1.898611e-01  -1.227927e-02  -7.346916e-02   4.078164e-03   1.063922e-01   1.798608e-03
   3.079484e+01   1.754406e-01  -5.847002e-03  -7.245050e-02   4.308446e-03   9.967762e-02   1.773962e-03
   3.239672e+01   1.623319e-01  -4.261495e-04  -7.126676e-02   4.359266e-03   9.325466e-02   1.743578e-03
   3.405312e+01   1.504528e-01   4.048071e-03  -6.992767e-02   4.279560e-03   8.714511e-02   1.707697e-03
   3.576473e+01   1.397142e-01   7.655618e-03  -6.844446e-02   4.105184e-03   8.136378e-02   1.666783e-03
   3.753220e+01   1.300251e-01   1.048233e-02  -6.683017e-02   3.864495e-03   7.592039e-02   1.621345e-03
   3.935615e+01   1.212958e-01   1.261029e-02  -6.510035e-02   3.587545e-03   7.082086e-02   1.572435e-03
   4.123717e+01   1.134381e-01   1.412088e-02  -6.327351e-02   3.299964e-03   6.606481e-02   1.520640e-03
   4.317582e+01   1.063649e-01   1.510015e-02  -6.136979e-02   3.014384e-03   6.164356e-02   1.466073e-03
   4.517260e+01   9.999291e-02   1.563472e-02  -5.940965e-02   2.734346e-03   5.754312e-02   1.409203e-03
   4.722799e+01   9.424592e-02   1.580353e-02  -5.741304e-02   2.462379e-03   5.374813e-02   1.350667e-03
   4.934246e+01   8.905495e-02   1.567322e-02  -5.539901e-02   2.205114e-03   5.024298e-02   1.291301e-03
   5.151639e+01   8.435698e-02   1.530371e-02  -5.338570e-02   1.967757e-03   4.701089e-02   1.231855e-03
   5.375018e+01   8.009491e-02   1.475276e-02  -5.139016e-02   1.749157e-03   4.403411e-02   1.172561e-03
   5.604416e+01   7.621850e-02   1.407011e-02  -4.942749e-02   1.548495e-03   4.129569e-02   1.113929e-03
   5.839864e+01   7.268377e-02   1.329569e-02  -4.751034e-02   1.366583e-03   3.877921e-02   1.056496e-03
   6.081388e+01   6.945153e-02   1.246285e-02  -4.564930e-02   1.203104e-03   3.646763e-02   1.000545e-03
   6.329014e+01   6.648680e-02   1.159788e-02  -4.385219e-02   1.057312e-03   3.434342e-02   9.463784e-04
   6.582760e+01   6.375822e-02   1.072077e-02  -4.212411e-02   9.287339e-04   3.238951e-02   8.941115e-04
   6.842644e+01   6.123662e-02   9.849820e-03  -4.046778e-02   8.151284e-04   3.058968e-02   8.441095e-04
   7.108680e+01   5.889558e-02   9.003018e-03  -3.888452e-02   7.115074e-04   2.892927e-02   7.963206e-04
   7.380878e+01   5.671416e-02   8.190465e-03  -3.737415e-02   6.166195e-04   2.739611e-02   7.509890e-04
   7.659244e+01   5.467657e-02   7.415208e-03  -3.593655e-02   5.325864e-04   2.597964e-02   7.081821e-04
   7.943783e+01   5.276919e-02   6.680441e-03  -3.457213e-02   4.601360e-04   2.467013e-02   6.675063e-04
   8.234494e+01   5.097863e-02   5.991376e-03  -3.328054e-02   3.976457e-04   2.345827e-02   6.288369e-04
   8.531376e+01   4.929184e-02   5.353200e-03  -3.205987e-02   3.418387e-04   2.233479e-02   5.922216e-04
   8.834422e+01   4.769792e-02   4.766622e-03  -3.090695e-02   2.916866e-04   2.129157e-02   5.577111e-04
   9.143624e+01   4.618910e-02   4.226614e-03  -2.981776e-02   2.497474e-04   2.032220e-02   5.254994e-04
   9.458969e+01   4.475857e-02   3.730237e-03  -2.878945e-02   2.161064e-04   1.942000e-02   4.954612e-04
   9.780443e+01   4.339942e-02   3.278690e-03  -2.782032e-02   1.870194e-04   1.857780e-02   4.670198e-04
   1.010803e+02   4.210463e-02   2.870492e-03  -2.690662e-02   1.617124e-04   1.778995e-02   4.402551e-04
   1.044170e+02   4.086657e-02   2.504085e-03  -2.604351e-02   1.398281e-04   1.705186e-02   4.151080e-04
   1.078145e+02   3.968070e-02   2.177021e-03  -2.522710e-02   1.205073e-04   1.635980e-02   3.913251e-04
   1.112723e+02   3.854587e-02   1.882335e-03  -2.445355e-02   1.055280e-04   1.571103e-02   3.691486e-04
   1.147902e+02   3.745931e-02   1.616169e-03  -2.371847e-02   9.334984e-05   1.510214e-02   3.482204e-04
   1.183680e+02   3.641801e-02   1.376491e-03  -2.301682e-02   8.049969e-05   1.452952e-02   3.286642e-04
   1.220052e+02   3.542128e-02   1.159034e-03  -2.234540e-02   6.632728e-05   1.399071e-02   3.105347e-04
   1.257015e+02   3.446759e-02   9.580294e-04  -2.170294e-02   5.484955e-05   1.348385e-02   2.936828e-04
   1.294566e+02   3.355251e-02   7.722640e-04  -2.108906e-02   4.866869e-05   1.300662e-02   2.777676e-04
   1.332699e+02   3.267145e-02   6.053614e-04  -2.050279e-02   4.378567e-05   1.255516e-02   2.626533e-04
   1.371412e+02   3.182146e-02   4.570270e-04  -1.994203e-02   3.793622e-05   1.212589e-02   2.485124e-04
   1.410698e+02   3.099918e-02   3.249448e-04  -1.940461e-02   3.318294e-05   1.171737e-02   2.353316e-04
   1.450554e+02   3.020070e-02   2.084413e-04  -1.888781e-02   3.097999e-05   1.132903e-02   2.232825e-04
   1.490974e+02   2.942364e-02   1.077177e-04  -1.839027e-02   3.074824e-05   1.095981e-02   2.120235e-04
   1.531954e+02   2.866654e-02   2.290058e-05  -1.791055e-02   3.128646e-05   1.060856e-02   2.016228e-04
   1.573487e+02   2.792777e-02  -4.504816e-05  -1.744783e-02   3.093310e-05   1.027414e-02   1.916877e-04
   1.615569e+02   2.720851e-02  -9.867972e-05  -1.700104e-02   2.875311e-05   9.955425e-03   1.821195e-04
   1.658194e+02   2.651186e-02  -1.424403e-04  -1.656916e-02   2.452800e-05   9.651672e-03   1.731141e-04
   1.701356e+02   2.583701e-02  -1.760604e-04  -1.615332e-02   1.871740e-05   9.361931e-03   1.644189e-04
   1.745048e+02   2.518207e-02  -1.971297e-04  -1.575527e-02   1.186905e-05   9.085298e-03   1.562417e-04
   1.789266e+02   2.454794e-02  -2.100129e-04  -1.537497e-02   7.683853e-06   8.821681e-03   1.489604e-04
   1.834001e+02   2.393426e-02  -2.189340e-04  -1.501044e-02   8.138819e-06   8.570531e-03   1.424868e-04
   1.879249e+02   2.333934e-02  -2.233074e-04  -1.465895e-02   9.899699e-06   8.330661e-03   1.363199e-04
   1.925003e+02   2.276284e-02  -2.253125e-04  -1.431858e-02   1.287011e-05   8.101342e-03   1.304677e-04
   1.971255e+02   2.220402e-02  -2.251949e-04  -1.398893e-02   1.668116e-05   7.881765e-03   1.248097e-04
   2.017999e+02   2.166254e-02  -2.201761e-04  -1.366915e-02   1.676478e-05   7.670573e-03   1.194084e-04
   2.065228e+02   2.113984e-02  -2.134640e-04  -1.335867e-02   1.418063e-05   7.467401e-03   1.144797e-04
   2.112936e+02   2.063527e-02  -2.094463e-04  -1.305624e-02   1.264460e-05   7.272205e-03   1.100298e-04
   2.161115e+02   2.014637e-02  -2.051559e-04  -1.276143e-02   1.046730e-05   7.084310e-03   1.059399e-04
   2.209758e+02   1.967222e-02  -2.004251e-04  -1.247505e-02   9.305484e-06   6.903342e-03   1.027110e-04
   2.258857e+02   1.921365e-02  -1.967990e-04  -1.219653e-02   8.035072e-06   6.728633e-03   9.972440e-05
   2.308407e+02   1.877141e-02  -1.962646e-04  -1.192387e-02   5.206117e-06   6.559788e-03   9.669718e-05
   2.358399e+02   1.834311e-02  -1.978102e-04  -1.165768e-02   3.366567e-06   6.397211e-03   9.377552e-05
   2.408825e+02   1.792458e-02  -1.948799e-04  -1.140004e-02   1.694646e-06   6.240718e-03   9.062903e-05
   2.459680e+02   1.751485e-02  -1.867368e-04  -1.115053e-02  -3.829679e-07   6.089762e-03   8.743907e-05
   2.510954e+02   1.711604e-02  -1.803625e-04  -1.090751e-02   5.026222e-07   5.944388e-03   8.427692e-05
   2.562641e+02   1.672782e-02  -1.761249e-04  -1.067065e-02   3.991845e-06   5.803775e-03   8.126218e-05
   2.614733e+02   1.634683e-02  -1.662255e-04  -1.044032e-02   4.443888e-06   5.666595e-03   7.813271e-05
   2.667223e+02   1.597198e-02  -1.515055e-04  -1.021571e-02   3.860151e-06   5.533127e-03   7.549853e-05
   2.720103e+02   1.560457e-02  -1.348102e-04  -9.996262e-03   3.563766e-06   5.404066e-03   7.299205e-05
   2.773366e+02   1.524605e-02  -1.161881e-04  -9.781032e-03   9.559577e-07   5.279154e-03   7.062949e-05
   2.827005e+02   1.489947e-02  -9.855238e-05  -9.571242e-03  -3.249798e-06   5.158149e-03   6.827914e-05
   2.881010e+02   1.456850e-02  -8.724869e-05  -9.368537e-03  -5.290474e-06   5.041471e-03   6.595737e-05
   2.935377e+02   1.425325e-02  -8.344448e-05  -9.173661e-03  -3.657845e-06   4.928985e-03   6.349950e-05
   2.990096e+02   1.394967e-02  -8.069676e-05  -8.985439e-03  -2.570287e-06   4.819817e-03   6.114305e-05
   3.045160e+02   1.365365e-02  -7.669089e-05  -8.803017e-03  -1.221626e-06   4.713914e-03   5.880285e-05
   3.100563e+02   1.336368e-02  -7.234492e-05  -8.624226e-03   1.005880e-06   4.611629e-03   5.648422e-05
   3.156296e+02   1.307909e-02  -6.578720e-05  -8.448476e-03   2.056109e-06   4.512532e-03   5.434708e-05
   3.212353e+02   1.279771e-02  -5.452588e-05  -8.277017e-03   1.833481e-06   4.415899e-03   5.210543e-05
   3.268726e+02   1.251824e-02  -3.765304e-05  -8.110090e-03   1.013336e-06   4.321692e-03   4.982179e-05
   3.325408e+02   1.224212e-02  -1.794927e-05  -7.945687e-03  -5.707964e-07   4.230118e-03   4.779305e-05
   3.382391e+02   1.197226e-02  -1.144131e-06  -7.782120e-03  -2.111820e-06   4.141227e-03   4.565474e-05
   3.439670e+02   1.170973e-02   9.270840e-06  -7.619040e-03  -1.542502e-06   4.054674e-03   4.374334e-05
   3.497236e+02   1.145473e-02   1.574970e-05  -7.456882e-03  -1.014415e-06   3.970542e-03   4.204326e-05
   3.555083e+02   1.120868e-02   1.821492e-05  -7.296825e-03   3.904338e-07   3.889827e-03   4.063241e-05
   3.613205e+02   1.097202e-02   1.837805e-05  -7.141824e-03   2.932912e-06   3.812480e-03   3.902497e-05
   3.671593e+02   1.074451e-02   1.872254e-05  -6.993091e-03   4.834092e-06   3.737604e-03   3.737409e-05
   3.730242e+02   1.052461e-02   1.966406e-05  -6.849503e-03   5.749586e-06   3.664434e-03   3.609057e-05
   3.789145e+02   1.030916e-02   2.277018e-05  -6.710239e-03   5.572972e-06   3.592434e-03   3.482536e-05
   3.848296e+02   1.009643e-02   2.791807e-05  -6.573738e-03   4.819191e-06   3.521631e-03   3.379470e-05
   3.907687e+02   9.885604e-03   3.500566e-05  -6.439670e-03   4.277637e-06   3.452071e-03   3.314662e-05
   3.967314e+02   9.675731e-03   4.558891e-05  -6.308828e-03   3.870629e-06   3.383491e-03   3.287196e-05
   4.027169e+02   9.467111e-03   6.008834e-05  -6.181569e-03   3.414249e-06   3.316272e-03   3.277344e-05
   4.087246e+02   9.260953e-03   7.730092e-05  -6.057712e-03   3.337789e-06   3.251040e-03   3.283895e-05
   4.147539e+02   9.057562e-03   9.635048e-05  -5.937246e-03   3.883677e-06   3.187646e-03   3.290335e-05
   4.208043e+02   8.855438e-03   1.173464e-04  -5.820459e-03   5.923842e-06   3.125490e-03   3.275951e-05
   4.268752e+02   8.652931e-03   1.423641e-04  -5.707429e-03   8.506027e-06   3.064125e-03   3.224740e-05
   4.329660e+02   8.451550e-03   1.708334e-04  -5.596861e-03   9.571159e-06   3.003467e-03   3.162635e-05
   4.390761e+02   8.255612e-03   1.976000e-04  -5.487089e-03   8.856673e-06   2.943955e-03   3.102521e-05
   4.452050e+02   8.067827e-03   2.189245e-04  -5.377544e-03   7.580969e-06   2.886153e-03   3.063550e-05
   4.513521e+02   7.887391e-03   2.362808e-04  -5.268707e-03   5.334388e-06   2.829833e-03   3.046513e-05
   4.575171e+02   7.712718e-03   2.503984e-04  -5.161349e-03   3.240178e-06   2.774718e-03   3.028914e-05
   4.636992e+02   7.543201e-03   2.599183e-04  -5.056380e-03   4.222742e-06   2.720951e-03   3.001044e-05
   4.698981e+02   7.377434e-03   2.679503e-04  -4.953685e-03   6.279627e-06   2.668280e-03   2.969906e-05
   4.761133e+02   7.212806e-03   2.789897e-04  -4.852452e-03   6.664218e-06   2.616495e-03   2.951331e-05
   4.823442e+02   7.047831e-03   2.935125e-04  -4.752721e-03   6.292375e-06   2.565682e-03   2.923323e-05
   4.885905e+02   6.883021e-03   3.099657e-04  -4.654437e-03   6.062232e-06   2.515843e-03   2.876807e-05
   4.948516e+02   6.719606e-03   3.266089e-04  -4.557010e-03   6.093443e-06   2.466815e-03   2.848452e-05
   5.011272e+02   6.559574e-03   3.419150e-04  -4.460561e-03   5.479682e-06   2.418395e-03   2.801271e-05
   5.074168e+02   6.405040e-03   3.535636e-04  -4.364432e-03   4.519416e-06   2.370960e-03   2.773155e-05
   5.137201e+02   6.255539e-03   3.621741e-04  -4.269592e-03   4.167047e-06   2.324844e-03   2.744428e-05
   5.200365e+02   6.108804e-03   3.702516e-04  -4.177498e-03   5.386473e-06   2.279733e-03   2.721082e-05
   5.263659e+02   5.963051e-03   3.805347e-04  -4.087401e-03   6.230453e-06   2.235111e-03   2.730486e-05
   5.327077e+02   5.817011e-03   3.944395e-04  -3.998104e-03   5.080285e-06   2.190855e-03   2.757149e-05
   5.390617e+02   5.670771e-03   4.108411e-04  -3.909397e-03   3.346202e-06   2.147664e-03   2.789637e-05
   5.454274e+02   5.526480e-03   4.256559e-04  -3.820981e-03   3.156728e-06   2.106061e-03   2.825051e-05
   5.518047e+02   5.386526e-03   4.366308e-04  -3.732977e-03   3.704353e-06   2.065725e-03   2.815969e-05
   5.581931e+02   5.251314e-03   4.451226e-04  -3.645715e-03   3.506486e-06   2.026309e-03   2.791885e-05
   5.645923e+02   5.120066e-03   4.524887e-04  -3.560078e-03   3.169470e-06   1.987929e-03   2.771686e-05
   5.710022e+02   4.992280e-03   4.585999e-04  -3.476089e-03   3.473999e-06   1.950637e-03   2.762708e-05
   5.774224e+02   4.867390e-03   4.644699e-04  -3.393395e-03   3.385200e-06   1.914281e-03   2.756954e-05
   5.838526e+02   4.744670e-03   4.702260e-04  -3.311983e-03   3.223021e-06   1.878635e-03   2.750105e-05
   5.902927e+02   4.624094e-03   4.761479e-04  -3.232264e-03   2.813736e-06   1.843577e-03   2.721454e-05
   5.967424e+02   4.505806e-03   4.821795e-04  -3.154581e-03   2.639405e-06   1.809238e-03   2.680640e-05
   6.032014e+02   4.389406e-03   4.887564e-04  -3.079420e-03   3.148314e-06   1.775499e-03   2.639147e-05
   6.096697e+02   4.275140e-03   4.972035e-04  -3.006975e-03   2.883121e-06   1.742262e-03   2.598896e-05
   6.161469e+02   4.163691e-03   5.058748e-04  -2.936737e-03   2.790327e-06   1.709970e-03   2.564928e-05
   6.226330e+02   4.054497e-03   5.134688e-04  -2.867929e-03   3.847423e-06   1.678781e-03   2.510260e-05
   6.291277e+02   3.946270e-03   5.214839e-04  -2.799450e-03   4.301947e-06   1.648160e-03   2.444639e-05
   6.356310e+02   3.838825e-03   5.308263e-04  -2.730946e-03   2.774941e-06   1.617810e-03   2.367105e-05
   6.421427e+02   3.732745e-03   5.397361e-04  -2.662890e-03   1.529054e-06   1.588206e-03   2.291423e-05
   6.486628e+02   3.627824e-03   5.480122e-04  -2.596310e-03   2.097580e-06   1.559572e-03   2.205190e-05
   6.551910e+02   3.523597e-03   5.578048e-04  -2.531287e-03   2.561035e-06   1.531514e-03   2.116170e-05
   6.617273e+02   3.419890e-03   5.694099e-04  -2.467531e-03   2.455203e-06   1.503767e-03   2.045671e-05
   6.682717e+02   3.316301e-03   5.826580e-04  -2.404917e-03   2.143693e-06   1.476371e-03   1.981396e-05
