y+,t_mean+,t_rms+,ut+
0.629128e+03,0.185143e+02,0.121333e+01,0.953199e+00
0.635631e+03,0.185444e+02,0.120451e+01,0.938411e+00
0.642143e+03,0.185743e+02,0.119563e+01,0.923646e+00
0.648663e+03,0.186037e+02,0.118671e+01,0.908886e+00
0.655191e+03,0.186328e+02,0.117776e+01,0.894138e+00
0.661727e+03,0.186615e+02,0.116878e+01,0.879406e+00
0.668272e+03,0.186897e+02,0.115978e+01,0.864681e+00
0.674824e+03,0.187176e+02,0.115075e+01,0.849948e+00
0.681385e+03,0.187451e+02,0.114166e+01,0.835207e+00
0.687953e+03,0.187722e+02,0.113251e+01,0.820467e+00
0.694529e+03,0.187989e+02,0.112332e+01,0.805750e+00
0.701113e+03,0.188253e+02,0.111410e+01,0.791075e+00
0.707705e+03,0.188512e+02,0.110485e+01,0.776442e+00
0.714306e+03,0.188766e+02,0.109556e+01,0.761862e+00
0.720914e+03,0.189017e+02,0.108623e+01,0.747345e+00
0.727530e+03,0.189263e+02,0.107689e+01,0.732894e+00
0.734155e+03,0.189506e+02,0.106754e+01,0.718511e+00
0.740787e+03,0.189744e+02,0.105819e+01,0.704199e+00
0.747429e+03,0.189978e+02,0.104886e+01,0.689959e+00
0.754079e+03,0.190208e+02,0.103954e+01,0.675782e+00
0.760737e+03,0.190432e+02,0.103026e+01,0.661656e+00
0.767404e+03,0.190653e+02,0.102103e+01,0.647572e+00
0.774081e+03,0.190868e+02,0.101183e+01,0.633544e+00
0.780767e+03,0.191079e+02,0.100265e+01,0.619602e+00
0.787462e+03,0.191284e+02,0.993501e+00,0.605779e+00
0.794167e+03,0.191485e+02,0.984377e+00,0.592089e+00
0.800881e+03,0.191681e+02,0.975276e+00,0.578535e+00
0.807606e+03,0.191872e+02,0.966202e+00,0.565108e+00
0.814342e+03,0.192058e+02,0.957164e+00,0.551807e+00
0.821088e+03,0.192238e+02,0.948174e+00,0.538663e+00
0.827846e+03,0.192413e+02,0.939249e+00,0.525725e+00
0.834615e+03,0.192583e+02,0.930410e+00,0.513036e+00
0.841396e+03,0.192748e+02,0.921682e+00,0.500634e+00
0.848189e+03,0.192908e+02,0.913088e+00,0.488542e+00
0.854995e+03,0.193063e+02,0.904646e+00,0.476772e+00
0.861814e+03,0.193212e+02,0.896387e+00,0.465331e+00
0.868646e+03,0.193355e+02,0.888349e+00,0.454235e+00
0.875493e+03,0.193492e+02,0.880558e+00,0.443503e+00
0.882354e+03,0.193624e+02,0.873022e+00,0.433148e+00
0.889230e+03,0.193749e+02,0.865739e+00,0.423159e+00
0.896121e+03,0.193868e+02,0.858709e+00,0.413524e+00
0.903029e+03,0.193981e+02,0.851934e+00,0.404242e+00
0.909954e+03,0.194088e+02,0.845423e+00,0.395329e+00
0.916896e+03,0.194189e+02,0.839192e+00,0.386816e+00
0.923857e+03,0.194283e+02,0.833267e+00,0.378737e+00
0.930836e+03,0.194371e+02,0.827670e+00,0.371113e+00
0.937834e+03,0.194453e+02,0.822409e+00,0.363957e+00
0.944853e+03,0.194528e+02,0.817484e+00,0.357283e+00
0.951893e+03,0.194598e+02,0.812899e+00,0.351109e+00
0.958955e+03,0.194661e+02,0.808680e+00,0.345453e+00
0.966040e+03,0.194718e+02,0.804865e+00,0.340335e+00
0.973149e+03,0.194768e+02,0.801476e+00,0.335778e+00
0.980282e+03,0.194812e+02,0.798525e+00,0.331812e+00
0.987441e+03,0.194848e+02,0.796024e+00,0.328472e+00
0.994627e+03,0.194878e+02,0.793987e+00,0.325780e+00
0.100184e+04,0.194900e+02,0.792426e+00,0.323746e+00
0.100908e+04,0.194915e+02,0.791367e+00,0.322379e+00
0.101636e+04,0.194923e+02,0.790833e+00,0.321690e+00
