y+,t_mean+,t_rms+,ut+
0.153945e+00,0.109263e+00,0.479084e-01,0.271707e-02
0.465827e+00,0.330618e+00,0.144973e+00,0.249787e-01
0.786334e+00,0.558057e+00,0.244696e+00,0.714044e-01
0.111676e+01,0.792426e+00,0.347368e+00,0.144384e+00
0.145842e+01,0.103452e+01,0.453183e+00,0.246555e+00
0.181264e+01,0.128508e+01,0.562224e+00,0.380627e+00
0.218076e+01,0.154475e+01,0.674436e+00,0.549144e+00
0.256414e+01,0.181404e+01,0.789613e+00,0.754192e+00
0.296413e+01,0.209332e+01,0.907384e+00,0.997078e+00
0.338212e+01,0.238279e+01,0.102721e+01,0.127800e+01
0.381947e+01,0.268241e+01,0.114839e+01,0.159575e+01
0.427757e+01,0.299190e+01,0.127006e+01,0.194753e+01
0.475778e+01,0.331074e+01,0.139127e+01,0.232884e+01
0.526148e+01,0.363813e+01,0.151095e+01,0.273353e+01
0.579005e+01,0.397298e+01,0.162801e+01,0.315407e+01
0.634484e+01,0.431397e+01,0.174134e+01,0.358185e+01
0.692721e+01,0.465956e+01,0.184991e+01,0.400767e+01
0.753851e+01,0.500802e+01,0.195275e+01,0.442228e+01
0.818007e+01,0.535750e+01,0.204903e+01,0.481689e+01
0.885321e+01,0.570610e+01,0.213806e+01,0.518361e+01
0.955923e+01,0.605190e+01,0.221932e+01,0.551585e+01
0.102994e+02,0.639308e+01,0.229247e+01,0.580853e+01
0.110750e+02,0.672792e+01,0.235731e+01,0.605820e+01
0.118874e+02,0.705488e+01,0.241383e+01,0.626300e+01
0.127376e+02,0.737265e+01,0.246213e+01,0.642256e+01
0.136269e+02,0.768012e+01,0.250246e+01,0.653780e+01
0.145565e+02,0.797646e+01,0.253514e+01,0.661072e+01
0.155276e+02,0.826106e+01,0.256058e+01,0.664414e+01
0.165412e+02,0.853355e+01,0.257926e+01,0.664148e+01
0.175985e+02,0.879379e+01,0.259170e+01,0.660657e+01
0.187005e+02,0.904182e+01,0.259844e+01,0.654342e+01
0.198484e+02,0.927782e+01,0.260004e+01,0.645610e+01
0.210430e+02,0.950213e+01,0.259706e+01,0.634861e+01
0.222855e+02,0.971518e+01,0.259006e+01,0.622475e+01
0.235766e+02,0.991749e+01,0.257955e+01,0.608808e+01
0.249175e+02,0.101096e+02,0.256606e+01,0.594185e+01
0.263089e+02,0.102922e+02,0.255006e+01,0.578898e+01
0.277517e+02,0.104657e+02,0.253198e+01,0.563205e+01
0.292467e+02,0.106309e+02,0.251222e+01,0.547327e+01
0.307948e+02,0.107883e+02,0.249114e+01,0.531452e+01
0.323967e+02,0.109386e+02,0.246906e+01,0.515738e+01
0.340531e+02,0.110822e+02,0.244626e+01,0.500313e+01
0.357647e+02,0.112196e+02,0.242299e+01,0.485277e+01
0.375322e+02,0.113515e+02,0.239946e+01,0.470709e+01
0.393562e+02,0.114782e+02,0.237585e+01,0.456664e+01
0.412372e+02,0.116001e+02,0.235229e+01,0.443179e+01
0.431758e+02,0.117176e+02,0.232892e+01,0.430279e+01
0.451726e+02,0.118312e+02,0.230582e+01,0.417974e+01
0.472280e+02,0.119411e+02,0.228309e+01,0.406269e+01
0.493425e+02,0.120476e+02,0.226078e+01,0.395159e+01
0.515164e+02,0.121511e+02,0.223895e+01,0.384633e+01
0.537502e+02,0.122516e+02,0.221764e+01,0.374677e+01
0.560442e+02,0.123496e+02,0.219688e+01,0.365274e+01
0.583986e+02,0.124451e+02,0.217669e+01,0.356406e+01
0.608139e+02,0.125384e+02,0.215710e+01,0.348052e+01
0.632901e+02,0.126295e+02,0.213811e+01,0.340188e+01
0.658276e+02,0.127188e+02,0.211974e+01,0.332790e+01
0.684264e+02,0.128062e+02,0.210197e+01,0.325831e+01
0.710868e+02,0.128920e+02,0.208481e+01,0.319287e+01
0.738088e+02,0.129761e+02,0.206824e+01,0.313130e+01
0.765924e+02,0.130589e+02,0.205226e+01,0.307337e+01
0.794378e+02,0.131402e+02,0.203683e+01,0.301879e+01
0.823449e+02,0.132203e+02,0.202195e+01,0.296734e+01
0.853138e+02,0.132991e+02,0.200759e+01,0.291877e+01
0.883442e+02,0.133768e+02,0.199375e+01,0.287289e+01
0.914362e+02,0.134534e+02,0.198040e+01,0.282949e+01
0.945897e+02,0.135290e+02,0.196754e+01,0.278841e+01
0.978044e+02,0.136036e+02,0.195516e+01,0.274950e+01
0.101080e+03,0.136773e+02,0.194323e+01,0.271258e+01
0.104417e+03,0.137500e+02,0.193173e+01,0.267749e+01
0.107814e+03,0.138219e+02,0.192064e+01,0.264406e+01
0.111272e+03,0.138930e+02,0.190995e+01,0.261218e+01
0.114790e+03,0.139633e+02,0.189963e+01,0.258172e+01
0.118368e+03,0.140328e+02,0.188967e+01,0.255258e+01
0.122005e+03,0.141016e+02,0.188004e+01,0.252464e+01
0.125702e+03,0.141698e+02,0.187071e+01,0.249779e+01
0.129457e+03,0.142372e+02,0.186168e+01,0.247194e+01
0.133270e+03,0.143040e+02,0.185294e+01,0.244700e+01
0.137141e+03,0.143703e+02,0.184446e+01,0.242292e+01
0.141070e+03,0.144359e+02,0.183622e+01,0.239959e+01
0.145055e+03,0.145010e+02,0.182820e+01,0.237697e+01
0.149097e+03,0.145656e+02,0.182038e+01,0.235495e+01
0.153195e+03,0.146295e+02,0.181273e+01,0.233346e+01
0.157349e+03,0.146930e+02,0.180523e+01,0.231245e+01
0.161557e+03,0.147559e+02,0.179788e+01,0.229190e+01
0.165819e+03,0.148184e+02,0.179066e+01,0.227177e+01
0.170136e+03,0.148803e+02,0.178357e+01,0.225201e+01
0.174505e+03,0.149417e+02,0.177658e+01,0.223260e+01
0.178927e+03,0.150027e+02,0.176970e+01,0.221351e+01
0.183400e+03,0.150632e+02,0.176291e+01,0.219469e+01
0.187925e+03,0.151232e+02,0.175622e+01,0.217614e+01
0.192500e+03,0.151828e+02,0.174959e+01,0.215784e+01
0.197125e+03,0.152418e+02,0.174304e+01,0.213975e+01
0.201800e+03,0.153004e+02,0.173657e+01,0.212186e+01
0.206523e+03,0.153586e+02,0.173015e+01,0.210417e+01
0.211294e+03,0.154162e+02,0.172380e+01,0.208670e+01
0.216111e+03,0.154733e+02,0.171751e+01,0.206947e+01
0.220976e+03,0.155300e+02,0.171127e+01,0.205246e+01
0.225886e+03,0.155862e+02,0.170504e+01,0.203564e+01
0.230841e+03,0.156420e+02,0.169884e+01,0.201899e+01
0.235840e+03,0.156974e+02,0.169266e+01,0.200246e+01
0.240883e+03,0.157524e+02,0.168652e+01,0.198601e+01
0.245968e+03,0.158070e+02,0.168039e+01,0.196962e+01
0.251095e+03,0.158611e+02,0.167428e+01,0.195333e+01
0.256264e+03,0.159149e+02,0.166818e+01,0.193714e+01
0.261473e+03,0.159682e+02,0.166208e+01,0.192101e+01
0.266722e+03,0.160212e+02,0.165598e+01,0.190490e+01
0.272010e+03,0.160738e+02,0.164984e+01,0.188876e+01
0.277337e+03,0.161260e+02,0.164367e+01,0.187255e+01
0.282700e+03,0.161779e+02,0.163746e+01,0.185627e+01
0.288101e+03,0.162293e+02,0.163122e+01,0.183995e+01
0.293538e+03,0.162803e+02,0.162495e+01,0.182364e+01
0.299010e+03,0.163310e+02,0.161865e+01,0.180740e+01
0.304516e+03,0.163812e+02,0.161233e+01,0.179124e+01
0.310056e+03,0.164311e+02,0.160601e+01,0.177512e+01
0.315630e+03,0.164806e+02,0.159968e+01,0.175902e+01
0.321235e+03,0.165297e+02,0.159333e+01,0.174293e+01
0.326873e+03,0.165785e+02,0.158696e+01,0.172681e+01
0.332541e+03,0.166269e+02,0.158053e+01,0.171068e+01
0.338239e+03,0.166749e+02,0.157407e+01,0.169456e+01
0.343967e+03,0.167225e+02,0.156757e+01,0.167844e+01
0.349724e+03,0.167697e+02,0.156105e+01,0.166234e+01
0.355508e+03,0.168166e+02,0.155447e+01,0.164628e+01
0.361320e+03,0.168631e+02,0.154783e+01,0.163024e+01
0.367159e+03,0.169092e+02,0.154111e+01,0.161420e+01
0.373024e+03,0.169550e+02,0.153435e+01,0.159813e+01
0.378915e+03,0.170004e+02,0.152753e+01,0.158204e+01
0.384830e+03,0.170454e+02,0.152068e+01,0.156593e+01
0.390769e+03,0.170901e+02,0.151380e+01,0.154979e+01
0.396731e+03,0.171345e+02,0.150689e+01,0.153363e+01
0.402717e+03,0.171784e+02,0.149992e+01,0.151743e+01
0.408725e+03,0.172220e+02,0.149290e+01,0.150123e+01
0.414754e+03,0.172652e+02,0.148581e+01,0.148506e+01
0.420804e+03,0.173081e+02,0.147867e+01,0.146890e+01
0.426875e+03,0.173506e+02,0.147147e+01,0.145274e+01
0.432966e+03,0.173927e+02,0.146419e+01,0.143660e+01
0.439076e+03,0.174345e+02,0.145685e+01,0.142051e+01
0.445205e+03,0.174759e+02,0.144944e+01,0.140450e+01
0.451352e+03,0.175169e+02,0.144197e+01,0.138852e+01
0.457517e+03,0.175575e+02,0.143445e+01,0.137249e+01
0.463699e+03,0.175978e+02,0.142690e+01,0.135642e+01
0.469898e+03,0.176376e+02,0.141930e+01,0.134032e+01
0.476113e+03,0.176771e+02,0.141166e+01,0.132421e+01
0.482344e+03,0.177162e+02,0.140398e+01,0.130812e+01
0.488590e+03,0.177550e+02,0.139625e+01,0.129203e+01
0.494852e+03,0.177934e+02,0.138845e+01,0.127597e+01
0.501127e+03,0.178314e+02,0.138058e+01,0.125996e+01
0.507417e+03,0.178691e+02,0.137267e+01,0.124404e+01
0.513720e+03,0.179064e+02,0.136471e+01,0.122823e+01
0.520037e+03,0.179434e+02,0.135671e+01,0.121252e+01
0.526366e+03,0.179800e+02,0.134867e+01,0.119688e+01
0.532708e+03,0.180162e+02,0.134057e+01,0.118126e+01
0.539062e+03,0.180521e+02,0.133242e+01,0.116568e+01
0.545427e+03,0.180877e+02,0.132421e+01,0.115015e+01
0.551805e+03,0.181228e+02,0.131595e+01,0.113467e+01
0.558193e+03,0.181576e+02,0.130761e+01,0.111920e+01
0.564592e+03,0.181920e+02,0.129923e+01,0.110376e+01
0.571002e+03,0.182260e+02,0.129080e+01,0.108839e+01
0.577422e+03,0.182595e+02,0.128234e+01,0.107310e+01
0.583853e+03,0.182927e+02,0.127384e+01,0.105788e+01
0.590293e+03,0.183255e+02,0.126530e+01,0.104275e+01
0.596742e+03,0.183579e+02,0.125673e+01,0.102771e+01
0.603201e+03,0.183900e+02,0.124813e+01,0.101273e+01
0.609670e+03,0.184216e+02,0.123949e+01,0.997801e+00
0.616147e+03,0.184529e+02,0.123081e+01,0.982900e+00
0.622633e+03,0.184837e+02,0.122210e+01,0.968031e+00
