y+,-vt+
0.269357e+03,0.767783e+00
0.274664e+03,0.763046e+00
0.280009e+03,0.758259e+00
0.285392e+03,0.753419e+00
0.290810e+03,0.748526e+00
0.296265e+03,0.743580e+00
0.301754e+03,0.738582e+00
0.307278e+03,0.733530e+00
0.312835e+03,0.728424e+00
0.318424e+03,0.723269e+00
0.324046e+03,0.718072e+00
0.329699e+03,0.712828e+00
0.335382e+03,0.707537e+00
0.341096e+03,0.702201e+00
0.346838e+03,0.696819e+00
0.352609e+03,0.691391e+00
0.358408e+03,0.685918e+00
0.364233e+03,0.680400e+00
0.370085e+03,0.674838e+00
0.375963e+03,0.669234e+00
0.381866e+03,0.663589e+00
0.387793e+03,0.657906e+00
0.393744e+03,0.652185e+00
0.399718e+03,0.646429e+00
0.405715e+03,0.640634e+00
0.411734e+03,0.634799e+00
0.417774e+03,0.628929e+00
0.423835e+03,0.623025e+00
0.429916e+03,0.617087e+00
0.436016e+03,0.611118e+00
0.442136e+03,0.605120e+00
0.448274e+03,0.599094e+00
0.454430e+03,0.593035e+00
0.460604e+03,0.586947e+00
0.466795e+03,0.580827e+00
0.473002e+03,0.574675e+00
0.479225e+03,0.568494e+00
0.485464e+03,0.562287e+00
0.491717e+03,0.556048e+00
0.497986e+03,0.549778e+00
0.504269e+03,0.543480e+00
0.510565e+03,0.537154e+00
0.516875e+03,0.530804e+00
0.523198e+03,0.524428e+00
0.529534e+03,0.518023e+00
0.535882e+03,0.511592e+00
0.542242e+03,0.505138e+00
0.548613e+03,0.498659e+00
0.554996e+03,0.492159e+00
0.561390e+03,0.485638e+00
0.567795e+03,0.479096e+00
0.574210e+03,0.472530e+00
0.580635e+03,0.465939e+00
0.587070e+03,0.459324e+00
0.593515e+03,0.452688e+00
0.599970e+03,0.446032e+00
0.606433e+03,0.439354e+00
0.612906e+03,0.432655e+00
0.619388e+03,0.425937e+00
0.625878e+03,0.419196e+00
0.632377e+03,0.412435e+00
0.638885e+03,0.405657e+00
0.645401e+03,0.398866e+00
0.651925e+03,0.392061e+00
0.658457e+03,0.385242e+00
0.664998e+03,0.378404e+00
0.671546e+03,0.371548e+00
0.678102e+03,0.364673e+00
0.684667e+03,0.357781e+00
0.691239e+03,0.350876e+00
0.697819e+03,0.343958e+00
0.704407e+03,0.337026e+00
0.711003e+03,0.330080e+00
0.717608e+03,0.323117e+00
0.724220e+03,0.316136e+00
0.730840e+03,0.309139e+00
0.737469e+03,0.302129e+00
0.744106e+03,0.295107e+00
0.750751e+03,0.288073e+00
0.757406e+03,0.281025e+00
0.764069e+03,0.273961e+00
0.770740e+03,0.266882e+00
0.777421e+03,0.259784e+00
0.784112e+03,0.252672e+00
0.790812e+03,0.245546e+00
0.797521e+03,0.238406e+00
0.804241e+03,0.231253e+00
0.810972e+03,0.224084e+00
0.817712e+03,0.216899e+00
0.824464e+03,0.209695e+00
0.831227e+03,0.202472e+00
0.838002e+03,0.195232e+00
0.844789e+03,0.187976e+00
0.851589e+03,0.180706e+00
0.858401e+03,0.173420e+00
0.865226e+03,0.166121e+00
0.872066e+03,0.158808e+00
0.878919e+03,0.151477e+00
0.885788e+03,0.144127e+00
0.892672e+03,0.136756e+00
0.899571e+03,0.129364e+00
0.906487e+03,0.121954e+00
0.913421e+03,0.114523e+00
0.920372e+03,0.107071e+00
0.927341e+03,0.995939e-01
0.934330e+03,0.920908e-01
0.941339e+03,0.845602e-01
0.948368e+03,0.770027e-01
0.955419e+03,0.694211e-01
0.962492e+03,0.618176e-01
0.969588e+03,0.541910e-01
0.976709e+03,0.465384e-01
0.983855e+03,0.388581e-01
0.991027e+03,0.311490e-01
0.998226e+03,0.234100e-01
0.100545e+04,0.156400e-01
0.101271e+04,0.783717e-02
0.102000e+04,0.000000e+00
