y+,-vt+
0.307891e+00,0.208578e-04
0.623764e+00,0.178069e-03
0.948904e+00,0.639431e-03
0.128462e+01,0.161196e-02
0.163222e+01,0.334523e-02
0.199305e+01,0.613096e-02
0.236846e+01,0.102984e-01
0.275981e+01,0.162050e-01
0.316846e+01,0.242219e-01
0.359579e+01,0.347150e-01
0.404316e+01,0.480222e-01
0.451197e+01,0.644289e-01
0.500358e+01,0.841433e-01
0.551938e+01,0.107275e+00
0.606072e+01,0.133817e+00
0.662896e+01,0.163641e+00
0.722546e+01,0.196493e+00
0.785156e+01,0.232002e+00
0.850859e+01,0.269705e+00
0.919784e+01,0.309062e+00
0.992063e+01,0.349493e+00
0.106782e+02,0.390403e+00
0.114719e+02,0.431215e+00
0.123028e+02,0.471391e+00
0.131723e+02,0.510457e+00
0.140815e+02,0.548011e+00
0.150315e+02,0.583733e+00
0.160236e+02,0.617386e+00
0.170588e+02,0.648811e+00
0.181382e+02,0.677923e+00
0.192629e+02,0.704698e+00
0.204339e+02,0.729165e+00
0.216522e+02,0.751391e+00
0.229187e+02,0.771478e+00
0.242345e+02,0.789547e+00
0.256004e+02,0.805730e+00
0.270173e+02,0.820170e+00
0.284861e+02,0.833004e+00
0.300074e+02,0.844373e+00
0.315822e+02,0.854409e+00
0.332112e+02,0.863239e+00
0.348950e+02,0.870980e+00
0.366344e+02,0.877741e+00
0.384300e+02,0.883621e+00
0.402823e+02,0.888707e+00
0.421920e+02,0.893082e+00
0.441596e+02,0.896819e+00
0.461856e+02,0.899984e+00
0.482704e+02,0.902637e+00
0.504145e+02,0.904831e+00
0.526183e+02,0.906613e+00
0.548821e+02,0.908024e+00
0.572062e+02,0.909100e+00
0.595910e+02,0.909871e+00
0.620367e+02,0.910367e+00
0.645435e+02,0.910613e+00
0.671117e+02,0.910627e+00
0.697412e+02,0.910428e+00
0.724324e+02,0.910032e+00
0.751852e+02,0.909455e+00
0.779997e+02,0.908709e+00
0.808760e+02,0.907805e+00
0.838139e+02,0.906753e+00
0.868136e+02,0.905561e+00
0.898749e+02,0.904238e+00
0.929976e+02,0.902790e+00
0.961818e+02,0.901226e+00
0.994271e+02,0.899550e+00
0.102733e+03,0.897763e+00
0.106101e+03,0.895870e+00
0.109528e+03,0.893873e+00
0.113016e+03,0.891773e+00
0.116564e+03,0.889577e+00
0.120172e+03,0.887283e+00
0.123839e+03,0.884892e+00
0.127564e+03,0.882409e+00
0.131349e+03,0.879833e+00
0.135191e+03,0.877167e+00
0.139091e+03,0.874415e+00
0.143048e+03,0.871582e+00
0.147062e+03,0.868670e+00
0.151132e+03,0.865679e+00
0.155258e+03,0.862606e+00
0.159439e+03,0.859454e+00
0.163675e+03,0.856223e+00
0.167964e+03,0.852916e+00
0.172307e+03,0.849539e+00
0.176703e+03,0.846088e+00
0.181150e+03,0.842564e+00
0.185650e+03,0.838970e+00
0.190200e+03,0.835307e+00
0.194800e+03,0.831577e+00
0.199450e+03,0.827782e+00
0.204149e+03,0.823921e+00
0.208896e+03,0.819992e+00
0.213691e+03,0.815995e+00
0.218532e+03,0.811933e+00
0.223419e+03,0.807803e+00
0.228352e+03,0.803603e+00
0.233329e+03,0.799336e+00
0.238350e+03,0.795005e+00
0.243415e+03,0.790614e+00
0.248521e+03,0.786166e+00
0.253670e+03,0.781661e+00
0.258859e+03,0.777095e+00
0.264088e+03,0.772467e+00
