%----------------------------------------------------------------
%  Reference : H. Abe, R.A.Antonia and H. Kawamura,
%  "Correlation between small-scale velocity 
%  and scalar fluctuations in a turbulent channel flow," 
%  J. Fluid Mech., Vol. 627, pp. 1-32 (2009).
%  DOI: https://doi.org/10.1017/S0022112008005569
%----------------------------------------------------------------
Case: cha640_pr071

Nomenclature:
     alpha = qw/(t_w-t_b)
     cp = specific heat capacity
     delta = channel half width
     Nu = alpha*2delta/ramda : Nusselt number
     nu = kinematic viscosity
     Pr = molecular Prandtl number
     qw = surface heat flux
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     ramda = thermal conductivity
     rho = density
     Um = bulk mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_tau = friction velocity
     t = temperature fluctuation
     t_b = bulk mean temperature
     t_mean = mean temperature
     t_tau = qw/(rho*cp*u_tau) : friction temperature
     t_w = wall temperature
     x, y, z = streamwise, wall-normal and spanwise directions


1. Numerical Method

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     4.00 and 4.00 wall units in the x- and z-directions
     and 0.15 to 8.02 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     2048 x 256 x 1024

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 6,385 non-dimensional units of time (nu/u_tau^2)
     after the flow reaches the fully developed state.  


2. Conditions

2.1. Specified conditions

     Re_tau = 640
     Pr = 0.71

2.2. Obtained bulk mean quantities

     Re_bulk = 24095
     Nu = 55.57


3. Turbulence statistics

  j        y+           t_mean+        t_rms+           ut+    
 61   1.640036e+02   1.494816e+01   1.637944e+00   1.786662e+00
 62   1.698066e+02   1.503638e+01   1.625154e+00   1.754768e+00
 63   1.756837e+02   1.512333e+01   1.612526e+00   1.723521e+00
 64   1.816323e+02   1.520894e+01   1.600017e+00   1.692867e+00
 65   1.876499e+02   1.529327e+01   1.587583e+00   1.662862e+00
 66   1.937339e+02   1.537641e+01   1.575295e+00   1.633649e+00
 67   1.998819e+02   1.545838e+01   1.563225e+00   1.605160e+00
 68   2.060915e+02   1.553923e+01   1.551296e+00   1.577057e+00
 69   2.123600e+02   1.561906e+01   1.539398e+00   1.549334e+00
 70   2.186853e+02   1.569789e+01   1.527541e+00   1.522176e+00
 71   2.250649e+02   1.577562e+01   1.515730e+00   1.495432e+00
 72   2.314964e+02   1.585224e+01   1.503993e+00   1.468994e+00
 73   2.379777e+02   1.592786e+01   1.492269e+00   1.442905e+00
 74   2.445065e+02   1.600249e+01   1.480493e+00   1.417270e+00
 75   2.510807e+02   1.607606e+01   1.468606e+00   1.391901e+00
 76   2.576982e+02   1.614858e+01   1.456591e+00   1.366564e+00
 77   2.643568e+02   1.622008e+01   1.444508e+00   1.341298e+00
 78   2.710548e+02   1.629064e+01   1.432391e+00   1.316114e+00
 79   2.777901e+02   1.636030e+01   1.420120e+00   1.290800e+00
 80   2.845610e+02   1.642900e+01   1.407630e+00   1.265290e+00
 81   2.913657e+02   1.649670e+01   1.394988e+00   1.239771e+00
 82   2.982025e+02   1.656332e+01   1.382175e+00   1.214333e+00
 83   3.050697e+02   1.662885e+01   1.369167e+00   1.189022e+00
 84   3.119659e+02   1.669334e+01   1.356033e+00   1.163979e+00
 85   3.188896e+02   1.675672e+01   1.342843e+00   1.139092e+00
 86   3.258395e+02   1.681893e+01   1.329571e+00   1.114213e+00
 87   3.328141e+02   1.688002e+01   1.316265e+00   1.089407e+00
 88   3.398124e+02   1.694000e+01   1.303023e+00   1.064773e+00
 89   3.468332e+02   1.699890e+01   1.289777e+00   1.040214e+00
 90   3.538754e+02   1.705677e+01   1.276415e+00   1.015710e+00
 91   3.609380e+02   1.711361e+01   1.262874e+00   9.913623e-01
 92   3.680203e+02   1.716937e+01   1.249158e+00   9.673092e-01
 93   3.751213e+02   1.722411e+01   1.235264e+00   9.434784e-01
 94   3.822403e+02   1.727789e+01   1.221196e+00   9.197439e-01
 95   3.893768e+02   1.733070e+01   1.206941e+00   8.961321e-01
 96   3.965301e+02   1.738257e+01   1.192481e+00   8.727332e-01
 97   4.036999e+02   1.743348e+01   1.177872e+00   8.496462e-01
 98   4.108857e+02   1.748334e+01   1.163136e+00   8.268383e-01
 99   4.180872e+02   1.753207e+01   1.148304e+00   8.043358e-01
100   4.253043e+02   1.757960e+01   1.133411e+00   7.822564e-01
101   4.325368e+02   1.762591e+01   1.118482e+00   7.604270e-01
102   4.397847e+02   1.767100e+01   1.103552e+00   7.385506e-01
103   4.470481e+02   1.771485e+01   1.088592e+00   7.165241e-01
104   4.543271e+02   1.775753e+01   1.073577e+00   6.944196e-01
105   4.616220e+02   1.779907e+01   1.058551e+00   6.722955e-01
106   4.689331e+02   1.783949e+01   1.043581e+00   6.502230e-01
107   4.762609e+02   1.787871e+01   1.028739e+00   6.283887e-01
108   4.836059e+02   1.791666e+01   1.014013e+00   6.068847e-01
109   4.909688e+02   1.795336e+01   9.993164e-01   5.856378e-01
110   4.983502e+02   1.798884e+01   9.846570e-01   5.646238e-01
111   5.057511e+02   1.802307e+01   9.701186e-01   5.438750e-01
112   5.131724e+02   1.805596e+01   9.557174e-01   5.234105e-01
113   5.206152e+02   1.808743e+01   9.414694e-01   5.032928e-01
114   5.280806e+02   1.811738e+01   9.274128e-01   4.835928e-01
115   5.355700e+02   1.814568e+01   9.136236e-01   4.644289e-01
116   5.430849e+02   1.817226e+01   9.001755e-01   4.458820e-01
117   5.506268e+02   1.819709e+01   8.871026e-01   4.280068e-01
118   5.581974e+02   1.822017e+01   8.744992e-01   4.108863e-01
119   5.657987e+02   1.824145e+01   8.625269e-01   3.946158e-01
120   5.734326e+02   1.826084e+01   8.513827e-01   3.793108e-01
121   5.811014e+02   1.827825e+01   8.411597e-01   3.651078e-01
122   5.888075e+02   1.829367e+01   8.318648e-01   3.521689e-01
123   5.965535e+02   1.830708e+01   8.235545e-01   3.406481e-01
124   6.043422e+02   1.831838e+01   8.163097e-01   3.306407e-01
125   6.121766e+02   1.832760e+01   8.101759e-01   3.222349e-01
126   6.200602e+02   1.833474e+01   8.052235e-01   3.155856e-01
127   6.279963e+02   1.833982e+01   8.015230e-01   3.107669e-01
128   6.359890e+02   1.834278e+01   7.991064e-01   3.078024e-01


  j        y+           -vt+     
  1   3.046630e-01   1.955882e-05
  2   6.255789e-01   1.739462e-04
  3   9.672557e-01   6.565507e-04
  4   1.334303e+00   1.753588e-03
  5   1.731407e+00   3.880376e-03
  6   2.163302e+00   7.616795e-03
  7   2.634748e+00   1.373196e-02
  8   3.150498e+00   2.318308e-02
  9   3.715284e+00   3.707134e-02
 10   4.333782e+00   5.654145e-02
 11   5.010602e+00   8.262430e-02
 12   5.750262e+00   1.160427e-01
 13   6.557174e+00   1.570214e-01
 14   7.435628e+00   2.051543e-01
 15   8.389777e+00   2.593751e-01
 16   9.423628e+00   3.180512e-01
 17   1.054103e+01   3.791828e-01
 18   1.174566e+01   4.406583e-01
 19   1.304103e+01   5.005059e-01
 20   1.443046e+01   5.570873e-01
 21   1.591708e+01   6.092072e-01
 22   1.750383e+01   6.561348e-01
 23   1.919345e+01   6.975612e-01
 24   2.098849e+01   7.335178e-01
 25   2.289128e+01   7.642778e-01
 26   2.490394e+01   7.902570e-01
 27   2.702840e+01   8.119348e-01
 28   2.926637e+01   8.298081e-01
 29   3.161934e+01   8.443667e-01
 30   3.408862e+01   8.560711e-01
 31   3.667529e+01   8.653347e-01
 32   3.938023e+01   8.725157e-01
 33   4.220411e+01   8.779223e-01
 34   4.514741e+01   8.818157e-01
 35   4.821040e+01   8.844086e-01
 36   5.139318e+01   8.858843e-01
 37   5.469564e+01   8.864093e-01
 38   5.811749e+01   8.861214e-01
 39   6.165826e+01   8.851186e-01
 40   6.531732e+01   8.834768e-01
 41   6.909385e+01   8.812694e-01
 42   7.298689e+01   8.785667e-01
 43   7.699533e+01   8.754406e-01
 44   8.111788e+01   8.719479e-01
 45   8.535316e+01   8.681266e-01
 46   8.969962e+01   8.639900e-01
 47   9.415561e+01   8.595282e-01
 48   9.871934e+01   8.547372e-01
 49   1.033889e+02   8.496425e-01
 50   1.081624e+02   8.442651e-01
 51   1.130377e+02   8.385946e-01
 52   1.180127e+02   8.326543e-01
 53   1.230851e+02   8.264912e-01
 54   1.282527e+02   8.201168e-01
 55   1.335130e+02   8.135191e-01
 56   1.388637e+02   8.066891e-01
 57   1.443023e+02   7.996110e-01
 58   1.498264e+02   7.923003e-01
 59   1.554335e+02   7.847815e-01
 60   1.611209e+02   7.770727e-01
 61   1.668863e+02   7.691966e-01
 62   1.727270e+02   7.611661e-01
 63   1.786404e+02   7.529822e-01
 64   1.846242e+02   7.446095e-01
 65   1.906756e+02   7.360520e-01
 66   1.967922e+02   7.273281e-01
 67   2.029716e+02   7.184385e-01
 68   2.092113e+02   7.093761e-01
 69   2.155088e+02   7.001696e-01
 70   2.218618e+02   6.908485e-01
 71   2.282679e+02   6.813911e-01
 72   2.347249e+02   6.717755e-01
 73   2.412305e+02   6.620307e-01
 74   2.477825e+02   6.521821e-01
 75   2.543789e+02   6.422184e-01
 76   2.610174e+02   6.321295e-01
 77   2.676963e+02   6.219144e-01
 78   2.744134e+02   6.115873e-01
 79   2.811669e+02   6.011679e-01
 80   2.879551e+02   5.906623e-01
 81   2.947762e+02   5.800808e-01
 82   3.016287e+02   5.694137e-01
 83   3.085108e+02   5.586515e-01
 84   3.154211e+02   5.478223e-01
 85   3.223582e+02   5.369159e-01
 86   3.293208e+02   5.259129e-01
 87   3.363075e+02   5.148236e-01
 88   3.433173e+02   5.036466e-01
 89   3.503491e+02   4.923788e-01
 90   3.574017e+02   4.810321e-01
 91   3.644744e+02   4.696138e-01
 92   3.715662e+02   4.581088e-01
 93   3.786764e+02   4.465242e-01
 94   3.858043e+02   4.348752e-01
 95   3.929493e+02   4.231621e-01
 96   4.001110e+02   4.113968e-01
 97   4.072888e+02   3.995869e-01
 98   4.144825e+02   3.877333e-01
 99   4.216919e+02   3.758344e-01
100   4.289167e+02   3.638805e-01
101   4.361569e+02   3.518707e-01
102   4.434125e+02   3.398026e-01
103   4.506836e+02   3.276627e-01
104   4.579705e+02   3.154483e-01
105   4.652734e+02   3.031671e-01
106   4.725928e+02   2.908359e-01
107   4.799290e+02   2.784562e-01
108   4.872828e+02   2.660087e-01
109   4.946547e+02   2.534938e-01
110   5.020457e+02   2.409255e-01
111   5.094565e+02   2.283081e-01
112   5.168883e+02   2.156433e-01
113   5.243421e+02   2.029342e-01
114   5.318192e+02   1.901834e-01
115   5.393209e+02   1.773834e-01
116   5.468489e+02   1.645251e-01
117   5.544047e+02   1.516020e-01
118   5.619901e+02   1.386121e-01
119   5.696072e+02   1.255640e-01
120   5.772580e+02   1.124514e-01
121   5.849448e+02   9.925786e-02
122   5.926702e+02   8.598946e-02
123   6.004368e+02   7.264708e-02
124   6.082476e+02   5.921414e-02
125   6.161057e+02   4.567911e-02
126   6.240146e+02   3.203977e-02
127   6.319780e+02   1.830096e-02
128   6.400000e+02   4.467540e-03


4. Budgets of transport equations

Budget of kt+ :

       y+            Prod.        Turb_Diff.     Mole_Diff.       Diss.           Res.    
   1.523315e-01   3.666306e-06   8.384460e-06   1.288298e-01   1.288392e-01   2.625031e-06
   4.651210e-01   5.821643e-05   1.308511e-04   1.287625e-01   1.289407e-01   1.085045e-05
   7.964173e-01   2.751809e-04   6.005076e-04   1.281843e-01   1.290360e-01   2.399727e-05
   1.150779e+00   8.229611e-04   1.719768e-03   1.264810e-01   1.289800e-01   4.366286e-05
   1.532855e+00   1.946844e-03   3.840118e-03   1.228946e-01   1.286115e-01   7.010848e-05
   1.947355e+00   3.990612e-03   7.304588e-03   1.165653e-01   1.277584e-01   1.020656e-04
   2.399025e+00   7.408447e-03   1.233462e-02   1.066588e-01   1.262649e-01   1.370413e-04
   2.892623e+00   1.275327e-02   1.887104e-02   9.258557e-02   1.240373e-01   1.725383e-04
   3.432891e+00   2.062413e-02   2.641393e-02   7.427119e-02   1.211013e-01   2.079538e-04
   4.024533e+00   3.155857e-02   3.394242e-02   5.238863e-02   1.176435e-01   2.461122e-04
   4.672192e+00   4.587098e-02   4.000331e-02   2.843046e-02   1.140118e-01   2.929883e-04
   5.380432e+00   6.346657e-02   4.301161e-02   4.529384e-03   1.106527e-01   3.548801e-04
   6.153718e+00   8.369211e-02   4.170644e-02  -1.696931e-02   1.079952e-01   4.340841e-04
   6.996401e+00   1.052999e-01   3.560033e-02  -3.405541e-02   1.063189e-01   5.258232e-04
   7.912702e+00   1.265788e-01   2.522169e-02  -4.551757e-02   1.056639e-01   6.190180e-04
   8.906702e+00   1.456458e-01   1.202362e-02  -5.114843e-02   1.058200e-01   7.009741e-04
   9.982329e+00   1.608168e-01  -2.013596e-03  -5.163921e-02   1.064007e-01   7.632401e-04
   1.114335e+01   1.709345e-01  -1.491788e-02  -4.825066e-02   1.069608e-01   8.050852e-04
   1.239335e+01   1.755487e-01  -2.518624e-02  -4.242041e-02   1.071092e-01   8.328422e-04
   1.373574e+01   1.749088e-01  -3.202559e-02  -3.544942e-02   1.065777e-01   8.561083e-04
   1.517377e+01   1.698013e-01  -3.534834e-02  -2.833281e-02   1.052371e-01   8.830515e-04
   1.671045e+01   1.613124e-01  -3.559672e-02  -2.172156e-02   1.030764e-01   9.176861e-04
   1.834864e+01   1.505966e-01  -3.350196e-02  -1.596778e-02   1.001668e-01   9.600465e-04
   2.009097e+01   1.387032e-01  -2.986284e-02  -1.121030e-02   9.662304e-02   1.007032e-03
   2.193988e+01   1.264793e-01  -2.539559e-02  -7.455853e-03   9.257403e-02   1.053813e-03
   2.389761e+01   1.145414e-01  -2.066589e-02  -4.630438e-03   8.814974e-02   1.095372e-03
   2.596617e+01   1.032946e-01  -1.608736e-02  -2.595813e-03   8.348344e-02   1.127944e-03
   2.814738e+01   9.297114e-02  -1.193793e-02  -1.174320e-03   7.870703e-02   1.151864e-03
   3.044285e+01   8.367238e-02  -8.360660e-03  -2.137164e-04   7.393126e-02   1.166739e-03
   3.285398e+01   7.540607e-02  -5.394138e-03   4.001533e-04   6.924027e-02   1.171817e-03
   3.538196e+01   6.812112e-02  -3.019032e-03   7.664420e-04   6.470086e-02   1.167671e-03
   3.802776e+01   6.173557e-02  -1.180902e-03   9.619154e-04   6.036102e-02   1.155564e-03
   4.079217e+01   5.615434e-02   1.999281e-04   1.033632e-03   5.625219e-02   1.135709e-03
   4.367576e+01   5.128049e-02   1.201598e-03   1.023896e-03   5.239695e-02   1.109030e-03
   4.667891e+01   4.702374e-02   1.890210e-03   9.693829e-04   4.880857e-02   1.074767e-03
   4.980179e+01   4.330258e-02   2.319689e-03   9.007718e-04   4.548727e-02   1.035771e-03
   5.304441e+01   4.004010e-02   2.548373e-03   8.265819e-04   4.242126e-02   9.937942e-04
   5.640657e+01   3.716567e-02   2.633774e-03   7.451168e-04   3.959639e-02   9.481662e-04
   5.988788e+01   3.462248e-02   2.612902e-03   6.684177e-04   3.700212e-02   9.016750e-04
