y+,t_mean+,t_rms+,ut+
4.253043e+02,1.757960e+01,1.133411e+00,7.822564e-01
4.325368e+02,1.762591e+01,1.118482e+00,7.604270e-01
4.397847e+02,1.767100e+01,1.103552e+00,7.385506e-01
4.470481e+02,1.771485e+01,1.088592e+00,7.165241e-01
4.543271e+02,1.775753e+01,1.073577e+00,6.944196e-01
4.616220e+02,1.779907e+01,1.058551e+00,6.722955e-01
4.689331e+02,1.783949e+01,1.043581e+00,6.502230e-01
4.762609e+02,1.787871e+01,1.028739e+00,6.283887e-01
4.836059e+02,1.791666e+01,1.014013e+00,6.068847e-01
4.909688e+02,1.795336e+01,9.993164e-01,5.856378e-01
4.983502e+02,1.798884e+01,9.846570e-01,5.646238e-01
5.057511e+02,1.802307e+01,9.701186e-01,5.438750e-01
5.131724e+02,1.805596e+01,9.557174e-01,5.234105e-01
5.206152e+02,1.808743e+01,9.414694e-01,5.032928e-01
5.280806e+02,1.811738e+01,9.274128e-01,4.835928e-01
5.355700e+02,1.814568e+01,9.136236e-01,4.644289e-01
5.430849e+02,1.817226e+01,9.001755e-01,4.458820e-01
5.506268e+02,1.819709e+01,8.871026e-01,4.280068e-01
5.581974e+02,1.822017e+01,8.744992e-01,4.108863e-01
5.657987e+02,1.824145e+01,8.625269e-01,3.946158e-01
5.734326e+02,1.826084e+01,8.513827e-01,3.793108e-01
5.811014e+02,1.827825e+01,8.411597e-01,3.651078e-01
5.888075e+02,1.829367e+01,8.318648e-01,3.521689e-01
5.965535e+02,1.830708e+01,8.235545e-01,3.406481e-01
6.043422e+02,1.831838e+01,8.163097e-01,3.306407e-01
6.121766e+02,1.832760e+01,8.101759e-01,3.222349e-01
6.200602e+02,1.833474e+01,8.052235e-01,3.155856e-01
6.279963e+02,1.833982e+01,8.015230e-01,3.107669e-01
6.359890e+02,1.834278e+01,7.991064e-01,3.078024e-01
